# label	GPT path — kinds WordNet has no noun for
blender accessories	home & garden > kitchen & dining > kitchen appliance accessories > blender accessories
blini pan	home & garden > kitchen & dining > cookware & bakeware > cookware > blini pan
blini pan	home & garden > kitchen & dining > cookware & bakeware > cookware > blini pan
blocking mat	arts & entertainment > hobbies & creative arts > arts & crafts > art & crafting tools > blocking mat
blocking wire	arts & entertainment > hobbies & creative arts > arts & crafts > art & crafting tools > blocking wire
blood glucose control solution	health & beauty > health care > biometric monitor accessories > blood glucose meter accessories > blood glucose control solution
blood glucose meter	health & beauty > health care > biometric monitor > blood glucose meter
blood glucose meter accessories	health & beauty > health care > biometric monitor accessories > blood glucose meter accessories
blood glucose test strip	health & beauty > health care > biometric monitor accessories > blood glucose meter accessories > blood glucose test strip
blood pressure monitor	health & beauty > health care > biometric monitor > blood pressure monitor
blood pressure monitor accessories	health & beauty > health care > biometric monitor accessories > blood pressure monitor accessories
blood pressure monitor cuff	health & beauty > health care > biometric monitor accessories > blood pressure monitor accessories > blood pressure monitor cuff
blood typing test kit	health & beauty > health care > medical test > blood typing test kit
blotter	office supplies > blotter   [WordNet has only non-goods senses]
blu-ray player	electronics > video > video players & recorders > blu-ray player
blu-ray player	electronics > video > video players & recorders > blu-ray player
blu-ray player	electronics > video > video players & recorders > blu-ray player
bluetooth transmitter	electronics > audio > audio component > audio transmitter > bluetooth transmitter
bluetooth transmitter	electronics > audio > audio component > audio transmitter > bluetooth transmitter
bluetooth transmitter	electronics > audio > audio component > audio transmitter > bluetooth transmitter
blush	health & beauty > personal care > cosmetics > makeup > face makeup > blush   [WordNet has only non-goods senses]
board game	toys & games > game > board game   [WordNet has only non-goods senses]
board game	toys & games > game > board game   [WordNet has only non-goods senses]
boat ladder	vehicles & parts > vehicle parts & accessories > watercraft parts & accessories > anchoring > boat ladder
boat storage rack	sporting goods > outdoor recreation > sport > watercraft storage rack > boat storage rack
boat storage rack	sporting goods > outdoor recreation > sport > watercraft storage rack > boat storage rack
boat storage rack	sporting goods > outdoor recreation > sport > watercraft storage rack > boat storage rack
boat storage rack	sporting goods > outdoor recreation > sport > watercraft storage rack > boat storage rack
boat trailer	vehicles & parts > vehicle parts & accessories > vehicle storage & cargo > motor vehicle trailer > boat trailer
boating glove	sporting goods > outdoor recreation > sport > rafting > boating glove
boating glove	sporting goods > outdoor recreation > sport > rafting > boating glove
boating glove	sporting goods > outdoor recreation > sport > rafting > boating glove
boating glove	sporting goods > outdoor recreation > sport > rafting > boating glove
bobbin winder	arts & entertainment > hobbies & creative arts > arts & crafts > art & crafting tools > thread & yarn tools > bobbin winder
bobblehead figure	toys & games > toy > dolls, playsets & toy figures > bobblehead figure
bobblehead figure	toys & games > toy > dolls, playsets & toy figures > bobblehead figure
bobblehead figure	toys & games > toy > dolls, playsets & toy figures > bobblehead figure
body fat analyzer	health & beauty > health care > biometric monitor > body fat analyzer
body jewelry	apparel & accessories > jewelry > body jewelry
body jewelry	apparel & accessories > jewelry > body jewelry
body jewelry	apparel & accessories > jewelry > body jewelry
body makeup	health & beauty > personal care > cosmetics > makeup > body makeup
body oil	health & beauty > personal care > cosmetics > skin care > body oil
body paint	health & beauty > personal care > cosmetics > makeup > body makeup > body paint
body powder	health & beauty > personal care > cosmetics > skin care > body powder
body wash	health & beauty > personal care > cosmetics > bath & body > body wash
body weight scale	health & beauty > health care > biometric monitor > body weight scale
body weight scale accessories	health & beauty > health care > biometric monitor accessories > body weight scale accessories
bodyboard	sporting goods > outdoor recreation > sport > surfing > bodyboard
bodyboard	sporting goods > outdoor recreation > sport > surfing > bodyboard
bodyboard	sporting goods > outdoor recreation > sport > surfing > bodyboard
bodyboard	sporting goods > outdoor recreation > sport > surfing > bodyboard
boiler accessories	home & garden > household appliance accessories > boiler accessories
book accessories	office supplies > book accessories
book cart	office supplies > office cart > book cart
book cover	office supplies > book accessories > book cover
book light	office supplies > book accessories > book light
book stand	office supplies > book accessories > book stand
boombox	electronics > audio > audio players & recorders > boombox
boombox	electronics > audio > audio players & recorders > boombox
boombox	electronics > audio > audio players & recorders > boombox
booster seat	furniture > booster seat
boot liner	apparel & accessories > shoe accessories > boot liner
boot pull	home & garden > household supplies > shoe care & tools > boot pull
borescope	cameras & optics > camera > borescope
borescope	cameras & optics > camera > borescope
borescope	cameras & optics > camera > borescope
bottle cap	home & garden > kitchen & dining > barware > bottle cap
bottle sleeve	home & garden > kitchen & dining > food & beverage carriers > drink sleeve > bottle sleeve
bottle stopper	home & garden > kitchen & dining > barware > bottle stopper
bottle warmer	toddler > feeding > bottle warmer
bottling bottle	mature > weapon > gun care & accessories > equipment > supplies > bottling bottle
bottling bottle	mature > weapon > gun care & accessories > equipment > supplies > bottling bottle
bottling bottle	mature > weapon > gun care & accessories > equipment > supplies > bottling bottle
bottling bottle	mature > weapon > gun care & accessories > equipment > supplies > bottling bottle
bottling bottle	mature > weapon > gun care & accessories > equipment > supplies > bottling bottle
bouncy ball	toys & games > toy > activity toy > bouncy ball
bouncy ball	toys & games > toy > activity toy > bouncy ball
bouncy ball	toys & games > toy > activity toy > bouncy ball
boutonnière	arts & entertainment > party & celebration > gift giving > boutonnière
boutonnière pin	arts & entertainment > party & celebration > gift giving > boutonnière pin
bow rosin	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > string instrument accessories > string instrument care & cleaning > bow rosin
bowl scraper	home & garden > kitchen & dining > kitchen tools & utensils > kitchen scraper > bowl scraper
bowling	sporting goods > indoor game > bowling   [WordNet has only non-goods senses]
bowling ball bag	sporting goods > indoor game > bowling > bowling ball bag
bowling glove	sporting goods > indoor game > bowling > bowling glove
bowling toy	toys & games > toy > sports toy > bowling toy
bowling toy	toys & games > toy > sports toy > bowling toy
bowling toy	toys & games > toy > sports toy > bowling toy
bowling wrist support	sporting goods > indoor game > bowling > bowling wrist support
boxing autographed paraphernalia	arts & entertainment > hobbies & creative arts > collectible > sports collectible > autographed sports paraphernalia > boxing autographed paraphernalia
boxing ring part	sporting goods > athletics > arts > boxing ring part
boxing ring part	sporting goods > athletics > arts > boxing ring part
boxing ring part	sporting goods > athletics > arts > boxing ring part
boxing shorts	apparel & accessories > clothing > activewear > boxing shorts
bra accessories	apparel & accessories > clothing > underwear & socks > bra accessories
bra strap	apparel & accessories > clothing > underwear & socks > bra accessories > bra strap
bra strap pad	apparel & accessories > clothing > underwear & socks > bra accessories > bra strap pad
brass fastener	office supplies > general office supplies > brass fastener
brass instrument accessories	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories
brass instrument care kit	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument care & cleaning > brass instrument care kit
brass instrument cleaning tool	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument care & cleaning > brass instrument cleaning tool
brass instrument guard	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument care & cleaning > brass instrument guard
brass instrument lubricant	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument care & cleaning > brass instrument lubricant
brass instrument mouthpiece	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument mouthpiece
brass instrument mute	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument mute
brass instrument polishing cloth	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument care & cleaning > brass instrument polishing cloth
brass instrument replacement part	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > brass instrument accessories > brass instrument replacement part
brass knuckle	mature > weapon > brass knuckle
brayer roller	arts & entertainment > hobbies & creative arts > arts & crafts > art & crafting tools > craft measuring & marking tools > brayer roller
bread box	home & garden > kitchen & dining > food storage > bread box
bread crumb	food, beverages & tobacco > food item > ingredient > bread crumb
bread pan	home & garden > kitchen & dining > cookware & bakeware > bakeware > bread pan
bread pan	home & garden > kitchen & dining > cookware & bakeware > bakeware > bread pan
breadmaker	home & garden > kitchen & dining > kitchen appliance > breadmaker
breadmaker accessories	home & garden > kitchen & dining > kitchen appliance accessories > breadmaker accessories
breast enhancing insert	apparel & accessories > clothing > underwear & socks > bra accessories > breast enhancing insert
breast milk storage container	toddler > feeding > breast milk storage container
breast petal	apparel & accessories > clothing > underwear & socks > bra accessories > breast petal
breast pump	toddler > feeding > breast pump
breast pump accessories	toddler > feeding > breast pump accessories
breath spray	health & beauty > personal care > oral care > breath spray
brick tool	hardware > hardware accessories > tool storage & organization > tool > masonry tool > brick tool
brick tool	hardware > hardware accessories > tool storage & organization > tool > masonry tool > brick tool
brick tool	hardware > hardware accessories > tool storage & organization > tool > masonry tool > brick tool
brick tool	hardware > hardware accessories > tool storage & organization > tool > masonry tool > brick tool
bridal accessories	apparel & accessories > clothing accessories > bridal accessories
bridal kimono	apparel & accessories > clothing > traditional & ceremonial clothing > kimono > bridal kimono
bridal party dress	apparel & accessories > clothing > party dress > bridal party dress
bridal veil	apparel & accessories > clothing accessories > bridal accessories > bridal veil
bridle bit	sporting goods > outdoor recreation > equestrian > horse tack > bridle bit
broadhead	sporting goods > outdoor recreation > shooting > archery > arrow parts & accessories > broadhead
broiling pan	home & garden > kitchen & dining > cookware & bakeware > bakeware > broiling pan
broiling pan	home & garden > kitchen & dining > cookware & bakeware > bakeware > broiling pan
bronzer	health & beauty > personal care > cosmetics > makeup > face makeup > bronzer
broom head	home & garden > household supplies > household cleaning supplies > broom head
broomball equipment	sporting goods > athletics > broomball equipment
brownie dough	food, beverages & tobacco > food item > ingredient > dough > brownie dough
brush accessories	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > percussion accessories > brush accessories
brush mower attachment	home & garden > lawn & garden > outdoor power equipment accessories > lawn mower accessories > brush mower attachment
brussel sprout	food, beverages & tobacco > food item > vegetable > brussel sprout
brussel sprout	food, beverages & tobacco > food item > vegetable > brussel sprout
brussel sprout	food, beverages & tobacco > food item > vegetable > brussel sprout
bubble blowing solution	toys & games > toy > activity toy > bubble blowing solution
bubble blowing solution	toys & games > toy > activity toy > bubble blowing solution
bubble blowing solution	toys & games > toy > activity toy > bubble blowing solution
bubble blowing toy	toys & games > toy > activity toy > bubble blowing toy
bubble blowing toy	toys & games > toy > activity toy > bubble blowing toy
bubble blowing toy	toys & games > toy > activity toy > bubble blowing toy
bubble level	hardware > hardware accessories > tool storage & organization > tool > measuring tools & sensors > level > bubble level
bubble level	hardware > hardware accessories > tool storage & organization > tool > measuring tools & sensors > level > bubble level
bubble level	hardware > hardware accessories > tool storage & organization > tool > measuring tools & sensors > level > bubble level
bubble level	hardware > hardware accessories > tool storage & organization > tool > measuring tools & sensors > level > bubble level
bug collecting kit	toys & games > toy > educational toy > bug collecting kit
bug collecting kit	toys & games > toy > educational toy > bug collecting kit
bug collecting kit	toys & games > toy > educational toy > bug collecting kit
building consumable	hardware > building consumable
building toy	toys & games > toy > building toy
building toy	toys & games > toy > building toy
building toy	toys & games > toy > building toy
bulb planting tool	home & garden > lawn & garden > gardening > gardening tool > bulb planting tool
bullet proof vest	business & industrial > work safety protective gear > bullet proof vest
bulletin board accessories	office supplies > presentation supplies > display board > bulletin board accessories
bulletin board trim	office supplies > presentation supplies > display board > bulletin board accessories > bulletin board trim
bulletin board trim set	office supplies > presentation supplies > display board > bulletin board accessories > bulletin board trim set
bumper sticker	vehicles & parts > vehicle parts & accessories > vehicle maintenance, care & decor > vehicle decor > bumper sticker
bunion care supplies	health & beauty > personal care > foot care > bunion care supplies
buoyancy compensator	sporting goods > outdoor recreation > sport > snorkeling > buoyancy compensator
buoyancy compensator	sporting goods > outdoor recreation > sport > snorkeling > buoyancy compensator
buoyancy compensator	sporting goods > outdoor recreation > sport > snorkeling > buoyancy compensator
buoyancy compensator	sporting goods > outdoor recreation > sport > snorkeling > buoyancy compensator
burp cloth	toddler > feeding > burp cloth
bus tub	business & industrial > food service > bus tub
bush	food, beverages & tobacco > food item > seed > plant > bush   [WordNet has only non-goods senses]
bush	food, beverages & tobacco > food item > seed > plant > bush   [WordNet has only non-goods senses]
business	software > computer software > business   [WordNet has only non-goods senses]
business	software > computer software > business   [WordNet has only non-goods senses]
business	software > computer software > business   [WordNet has only non-goods senses]
business card	office supplies > general office supplies > paper product > business card   [WordNet has only non-goods senses]
business card book	hardware > hardware accessories > organization > business card book
business card book	hardware > hardware accessories > organization > business card book
business card book	hardware > hardware accessories > organization > business card book
business card case	apparel & accessories > handbags, wallets & cases > business card case
business card stand	hardware > hardware accessories > organization > business card stand
business card stand	hardware > hardware accessories > organization > business card stand
business card stand	hardware > hardware accessories > organization > business card stand
business form	office supplies > general office supplies > paper product > business form
business hour sign	business & industrial > signage > business hour sign
butterfly feeder	home & garden > decor > bird & wildlife feeders > butterfly feeder
butterfly house	home & garden > decor > bird & wildlife houses > butterfly house
button stud	apparel & accessories > clothing accessories > button stud
cabinet backplate	hardware > hardware accessories > cabinet hardware > cabinet backplate
cabinet catch	hardware > hardware accessories > cabinet hardware > cabinet catch
cabinet door	hardware > hardware accessories > cabinet hardware > cabinet door
cabinet hardware	hardware > hardware accessories > cabinet hardware
cabinet knob	hardware > hardware accessories > cabinet hardware > cabinet knob
cabinet light fixtures	home & garden > lighting > lighting fixtures > cabinet light fixtures
cable clip	electronics > electronics accessories > cable management > cable clip
cable management	electronics > electronics accessories > cable management
cable sleeve	electronics > electronics accessories > cable management > cable sleeve
cable tie	electronics > electronics accessories > cable management > cable tie
cable tie gun	electronics > electronics accessories > cable management > cable tie gun
cable tray	electronics > electronics accessories > cable management > cable tray
cable tv	electronics > video > cable tv
cable tv	electronics > video > cable tv
cable tv	electronics > video > cable tv
cable tv receiver	electronics > video > satellite & cable tv > cable tv receiver
cable tv receiver	electronics > video > satellite & cable tv > cable tv receiver
cable tv receiver	electronics > video > satellite & cable tv > cable tv receiver
cache memory	electronics > electronics accessories > memory > cache memory
cactus leaf	food, beverages & tobacco > food item > vegetable > cactus leaf
cactus leaf	food, beverages & tobacco > food item > vegetable > cactus leaf
cactus leaf	food, beverages & tobacco > food item > vegetable > cactus leaf
cactus pear	food, beverages & tobacco > food item > fruit > cactus pear
cactus pear	food, beverages & tobacco > food item > fruit > cactus pear
cajon	arts & entertainment > hobbies & creative arts > musical instrument > percussion > hand percussion > hand drum > cajon
cake board	home & garden > kitchen & dining > tableware > serveware > cake board
cake decorating supplies	home & garden > kitchen & dining > kitchen tools & utensils > cake decorating supplies
cake pan	home & garden > kitchen & dining > cookware & bakeware > bakeware > cake pan
cake pan	home & garden > kitchen & dining > cookware & bakeware > bakeware > cake pan
cake server	home & garden > kitchen & dining > kitchen tools & utensils > cake server
cake stand	home & garden > kitchen & dining > tableware > serveware > cake stand
calculator accessories	office supplies > office equipment > calculator accessories
calendars organizer	hardware > hardware accessories > organization > calendars organizer
calendars organizer	hardware > hardware accessories > organization > calendars organizer
calendars organizer	hardware > hardware accessories > organization > calendars organizer
call bell	office supplies > office instrument > call bell
camera accessory set	cameras & optics > camera & optic accessories > camera parts & accessories > camera accessory set
camera bag	cameras & optics > camera & optic accessories > camera parts & accessories > camera bag
camera battery	electronics > electronics accessories > power > battery > camera battery
camera battery	electronics > electronics accessories > power > battery > camera battery
camera battery charger	electronics > electronics accessories > power > battery accessories > camera battery charger
camera battery charger	electronics > electronics accessories > power > battery accessories > camera battery charger
camera circuit board	electronics > circuit boards & components > printed circuit board > camera circuit board
camera digital back	cameras & optics > camera & optic accessories > camera parts & accessories > camera digital back
camera film	cameras & optics > camera & optic accessories > camera parts & accessories > camera film
camera flash	cameras & optics > camera & optic accessories > camera parts & accessories > camera flash
camera flash accessories	cameras & optics > camera & optic accessories > camera parts & accessories > camera flash accessories
camera focus device	cameras & optics > camera & optic accessories > camera parts & accessories > camera focus device
camera gear	cameras & optics > camera & optic accessories > camera parts & accessories > camera gear
camera grip	cameras & optics > camera & optic accessories > camera parts & accessories > camera grip
camera image sensor	cameras & optics > camera & optic accessories > camera parts & accessories > camera image sensor
camera lens accessories	cameras & optics > camera & optic accessories > camera lens accessories
camera lens zoom unit	cameras & optics > camera & optic accessories > camera parts & accessories > camera lens zoom unit
camera part	cameras & optics > camera & optic accessories > camera part
camera remote control	cameras & optics > camera & optic accessories > camera parts & accessories > camera remote control
camera silencer	cameras & optics > camera & optic accessories > camera parts & accessories > camera silencer
camera stabilizer	cameras & optics > camera & optic accessories > camera parts & accessories > camera stabilizer
camera strap	cameras & optics > camera & optic accessories > camera parts & accessories > camera strap
camp furniture	sporting goods > outdoor recreation > hiking > camp furniture
camping cookware	sporting goods > outdoor recreation > hiking > camping cookware
camping light	sporting goods > outdoor recreation > hiking > camping light
camping tool	sporting goods > outdoor recreation > hiking > camping tool
can crusher	home & garden > kitchen & dining > kitchen tools & utensils > can crusher
can organizer	home & garden > kitchen & dining > kitchen tools & utensils > kitchen organizer > can organizer
candle making kit	arts & entertainment > hobbies & creative arts > arts & crafts > art & craft kits > candle making kit
candle snuffer	home & garden > decor > home fragrance accessories > candle snuffer
candy bucket	home & garden > kitchen & dining > food storage > candy bucket
canned seafood	food, beverages & tobacco > food item > meat, seafood & eggs > seafood > canned seafood
canner	home & garden > kitchen & dining > cookware & bakeware > cookware > canner
canner	home & garden > kitchen & dining > cookware & bakeware > cookware > canner
canner accessories	home & garden > kitchen & dining > cookware & bakeware > cookware accessories > canner accessories
canoe accessories	sporting goods > outdoor recreation > sport > rafting > canoe accessories
canoe accessories	sporting goods > outdoor recreation > sport > rafting > canoe accessories
canoe accessories	sporting goods > outdoor recreation > sport > rafting > canoe accessories
canoe accessories	sporting goods > outdoor recreation > sport > rafting > canoe accessories
canopy pole	home & garden > lawn & garden > outdoor living > outdoor structure > canopy & gazebo accessories > canopy pole
canopy weight	home & garden > lawn & garden > outdoor living > outdoor structure > canopy & gazebo accessories > canopy weight
capo	arts & entertainment > hobbies & creative arts > musical instrument & orchestra accessories > string instrument accessories > guitar accessories > capo   [WordNet has only non-goods senses]
captains armband	sporting goods > athletics > officiating > captains armband
car seat accessories	toddler > baby transport accessories > car seat accessories
car wash brush	vehicles & parts > vehicle parts & accessories > vehicle maintenance, care & decor > vehicle cleaning > car wash brush
car wash solution	vehicles & parts > vehicle parts & accessories > vehicle maintenance, care & decor > vehicle cleaning > car wash solution
car window net	vehicles & parts > vehicle parts & accessories > vehicle safety & security > vehicle safety equipment > car window net
carbon brush	hardware > power & electrical supplies > carbon brush
carbon monoxide detector	home & garden > flood, fire & gas safety > smoke & carbon monoxide detectors > carbon monoxide detector
card file	hardware > hardware accessories > organization > card file
card file	hardware > hardware accessories > organization > card file
card file	hardware > hardware accessories > organization > card file
card game	toys & games > game > card game   [WordNet has only non-goods senses]
card game	toys & games > game > card game   [WordNet has only non-goods senses]
card game accessories	toys & games > game > card game accessories
card game accessories	toys & games > game > card game accessories
card sleeve	hardware > hardware accessories > organization > card sleeve
card sleeve	hardware > hardware accessories > organization > card sleeve
card sleeve	hardware > hardware accessories > organization > card sleeve
cardboard cutout	home & garden > decor > cardboard cutout
cardio	sporting goods > exercise & fitness > cardio
cardio machine	sporting goods > exercise & fitness > cardio > cardio machine
cardio machine accessories	sporting goods > exercise & fitness > cardio > cardio machine accessories
cardstock	arts & entertainment > hobbies & creative arts > arts & crafts > art & crafting materials > art & craft paper > cardstock
cardstock	arts & entertainment > hobbies & creative arts > arts & crafts > art & crafting materials > art & craft paper > cardstock
care	health & beauty > care   [WordNet has only non-goods senses]
cargo trailer	vehicles & parts > vehicle parts & accessories > vehicle storage & cargo > motor vehicle trailer > cargo trailer
carpentry jointer	hardware > hardware accessories > tool storage & organization > tool > carpentry jointer
carpentry jointer	hardware > hardware accessories > tool storage & organization > tool > carpentry jointer
carpentry jointer	hardware > hardware accessories > tool storage & organization > tool > carpentry jointer
carpentry jointer	hardware > hardware accessories > tool storage & organization > tool > carpentry jointer
carpet cleaner	home & garden > household supplies > household cleaning supplies > household cleaning product > carpet cleaner
carpet dryer	home & garden > household appliance > carpet dryer
carpet shampooer	home & garden > household appliance > floor & steam cleaners > carpet shampooer
carpet steamer	home & garden > household appliance > floor & steam cleaners > carpet steamer
carrier accessories	home & garden > fireplace & wood stove accessories > carrier accessories
cars truck	vehicles & parts > vehicle > motor vehicle > cars truck
cars truck	vehicles & parts > vehicle > motor vehicle > cars truck
carving chisel	hardware > hardware accessories > tool storage & organization > tool > carving chisel
carving chisel	hardware > hardware accessories > tool storage & organization > tool > carving chisel
carving chisel	hardware > hardware accessories > tool storage & organization > tool > carving chisel
carving chisel	hardware > hardware accessories > tool storage & organization > tool > carving chisel
cash box	hardware > hardware accessories > organization > cash box
cash box	hardware > hardware accessories > organization > cash box
cash box	hardware > hardware accessories > organization > cash box
cash drawer	business & industrial > retail > money handling > cash register & pos terminal accessories > cash drawer
cash drawer	business & industrial > retail > money handling > cash register & pos terminal accessories > cash drawer
casserole dish	home & garden > kitchen & dining > cookware & bakeware > cookware > casserole dish
casserole dish	home & garden > kitchen & dining > cookware & bakeware > cookware > casserole dish
castanet	arts & entertainment > hobbies & creative arts > musical instrument > percussion > hand percussion > castanet
casual kimono	apparel & accessories > clothing > traditional & ceremonial clothing > kimono > casual kimono
cat apparel	animals & pet supplies > pet supplies > cat supplies > cat apparel
cat apparel	animals & pet supplies > pet supplies > cat supplies > cat apparel
cat bed	animals & pet supplies > pet supplies > cat supplies > cat bed
cat bed	animals & pet supplies > pet supplies > cat supplies > cat bed
cat furniture	animals & pet supplies > pet supplies > cat supplies > cat furniture
cat furniture	animals & pet supplies > pet supplies > cat supplies > cat furniture
cat furniture accessories	animals & pet supplies > pet supplies > cat supplies > cat furniture accessories
cat furniture accessories	animals & pet supplies > pet supplies > cat supplies > cat furniture accessories
cat litter	animals & pet supplies > pet supplies > cat supplies > cat litter
cat litter	animals & pet supplies > pet supplies > cat supplies > cat litter
cat litter box	animals & pet supplies > pet supplies > cat supplies > cat litter box
cat litter box	animals & pet supplies > pet supplies > cat supplies > cat litter box
cat litter box liner	animals & pet supplies > pet supplies > cat supplies > cat litter box liner
cat litter box liner	animals & pet supplies > pet supplies > cat supplies > cat litter box liner
cat litter box mat	animals & pet supplies > pet supplies > cat supplies > cat litter box mat
cat litter box mat	animals & pet supplies > pet supplies > cat supplies > cat litter box mat
cat supplies	animals & pet supplies > pet supplies > cat supplies
cat supplies	animals & pet supplies > pet supplies > cat supplies
cat toy	animals & pet supplies > pet supplies > cat supplies > cat toy
cat toy	animals & pet supplies > pet supplies > cat supplies > cat toy
cat treat	animals & pet supplies > pet supplies > cat supplies > cat treat
cat treat	animals & pet supplies > pet supplies > cat supplies > cat treat
catchers equipment set	sporting goods > athletics > baseball & softball > baseball & softball protective gear > catchers equipment set
catchers helmet	sporting goods > athletics > baseball & softball > baseball & softball protective gear > catchers helmet
cattle feed	business & industrial > agriculture > animal husbandry > livestock feed > cattle feed
caulking tool	hardware > hardware accessories > tool storage & organization > tool > caulking tool
caulking tool	hardware > hardware accessories > tool storage & organization > tool > caulking tool
caulking tool	hardware > hardware accessories > tool storage & organization > tool > caulking tool
caulking tool	hardware > hardware accessories > tool storage & organization > tool > caulking tool
cb radio	electronics > communication > communication radio > cb radio
cd/dvd case	hardware > hardware accessories > organization > cd/dvd case
cd/dvd case	hardware > hardware accessories > organization > cd/dvd case
cd/dvd case	hardware > hardware accessories > organization > cd/dvd case
cd/dvd duplicator	electronics > electronics accessories > computer component > storage device > disk duplicator > cd/dvd duplicator
ceiling fan	home & garden > household appliance > climate control appliance > fan > ceiling fan
ceiling light fixtures	home & garden > lighting > lighting fixtures > ceiling light fixtures
ceiling tile	hardware > building material > ceiling tile
celebration	arts & entertainment > celebration   [WordNet has only non-goods senses]
cement mortar	hardware > building consumable > masonry consumable > cement mortar
cereal bar	food, beverages & tobacco > food item > snack food > cereal & granola bars > cereal bar
ceremonial	ceremonial   [WordNet has only non-goods senses]
ceremonial clothing	apparel & accessories > clothing > ceremonial clothing
certificate	arts & entertainment > party & celebration > gift giving > certificate   [WordNet has only non-goods senses]
cesspool treatment	home & garden > pool & spa > pool & spa accessories > chemical > cesspool treatment
cesspool treatment	home & garden > pool & spa > pool & spa accessories > chemical > cesspool treatment
chain connector	hardware > hardware accessories > hooks, buckles & fasteners > chain connector
chain wire	hardware > hardware accessories > chain wire
chainsaw accessories	home & garden > lawn & garden > outdoor power equipment accessories > chainsaw accessories
chainsaw bar	home & garden > lawn & garden > outdoor power equipment accessories > chainsaw accessories > chainsaw bar
chainsaw chain	home & garden > lawn & garden > outdoor power equipment accessories > chainsaw accessories > chainsaw chain
chair accessories	furniture > chair accessories
chair mat	office supplies > office & chair mats > chair mat
chair mat	office supplies > office & chair mats > chair mat
chair sash	arts & entertainment > party & celebration > party supplies > chair sash
changing mat	toddler > diapering > changing mat
changing table	furniture > changing table
channel knife	home & garden > kitchen & dining > kitchen tools & utensils > channel knife
channel strip	electronics > audio > audio component > channel strip
channel strip	electronics > audio > audio component > channel strip
channel strip	electronics > audio > audio component > channel strip
charcoal briquette	home & garden > kitchen & dining > kitchen appliance accessories > outdoor grill accessories > charcoal briquette
charcoal chimney	home & garden > kitchen & dining > kitchen appliance accessories > outdoor grill accessories > charcoal chimney
charger accessories	electronics > electronics accessories > power > charger accessories
charger accessories	electronics > electronics accessories > power > charger accessories
charging valet	sporting goods > outdoor recreation > cycling > bicycle accessories > storage > charging valet
charging valet	sporting goods > outdoor recreation > cycling > bicycle accessories > storage > charging valet
charging valet	sporting goods > outdoor recreation > cycling > bicycle accessories > storage > charging valet
charging valet	sporting goods > outdoor recreation > cycling > bicycle accessories > storage > charging valet
charging valet	sporting goods > outdoor recreation > cycling > bicycle accessories > storage > charging valet
charm	apparel & accessories > jewelry > charm   [WordNet has only non-goods senses]
charm	apparel & accessories > jewelry > charm   [WordNet has only non-goods senses]
charm	apparel & accessories > jewelry > charm   [WordNet has only non-goods senses]
charm	apparel & accessories > jewelry > charm   [WordNet has only non-goods senses]
charm	apparel & accessories > jewelry > charm   [WordNet has only non-goods senses]
check presenter	business & industrial > food service > check presenter
checkbook cover	apparel & accessories > handbag & wallet accessories > checkbook cover
cheek stain	health & beauty > personal care > cosmetics > makeup > lip makeup > cheek stain
cheerleading	sporting goods > athletics > cheerleading
cheerleading pom pom	sporting goods > athletics > cheerleading > cheerleading pom pom
cheerleading uniform	apparel & accessories > clothing > uniform > sports uniform > cheerleading uniform
cheese alternative	food, beverages & tobacco > food item > tofu, soy & vegetarian products > cheese alternative
cheese puff	food, beverages & tobacco > food item > snack food > cheese puff
chef's hat	apparel & accessories > clothing > uniform > food service uniform > chef's hat
chef's jacket	apparel & accessories > clothing > uniform > food service uniform > chef's jacket
chef's pants	apparel & accessories > clothing > uniform > food service uniform > chef's pants
chemical hand warmer	sporting goods > outdoor recreation > hiking > chemical hand warmer
chew	health & beauty > health care > fitness & nutrition > chew   [WordNet has only non-goods senses]
chewing tobacco	food, beverages & tobacco > tobacco product > chewing tobacco
chicken feed	business & industrial > agriculture > animal husbandry > livestock feed > chicken feed   [WordNet has only non-goods senses]
child swimming aid	sporting goods > outdoor recreation > sport > swimming > child swimming aid
child swimming aid	sporting goods > outdoor recreation > sport > swimming > child swimming aid
child swimming aid	sporting goods > outdoor recreation > sport > swimming > child swimming aid
child swimming aid	sporting goods > outdoor recreation > sport > swimming > child swimming aid
chiller	home & garden > kitchen & dining > barware > chiller   [WordNet has only non-goods senses]
chimney brush	hardware > hardware accessories > tool storage & organization > tool > chimney brush
chimney brush	hardware > hardware accessories > tool storage & organization > tool > chimney brush
chimney brush	hardware > hardware accessories > tool storage & organization > tool > chimney brush
chimney brush	hardware > hardware accessories > tool storage & organization > tool > chimney brush
