name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
comet-coma	09251002	AstronomicalBody	+			Q159557					(astronomy) the luminous cloud of particles surrounding the frozen nucleus of a comet; for	physics
comet-nucleus	09375223	AstronomicalBody	+								(astronomy) the center of the head of a comet; consists of small solid particles of ice an	physics
comfort	14445379	EmotionalState	+								"a state of being relaxed and feeling no pain; ""he is a man who enjoys his comfort""; ""she l"	base
comic-strip	07003352	ContentBearingObject	+		Comic_strip	Q838795	Mx4rvWsP2pwpEbGdrcN5Y29ycA				a sequence of drawings telling a story in a newspaper or comic book	base
coming-together	01230965	Meeting	=								"the social act of assembling for some common purpose; ""his meeting with the salesmen was t"	base
command	05641959	PsychologicalAttribute	+								"great skillfulness and knowledge of some subject or activity; ""a good command of French"""	base
commemoration	06688522	Expressing	+			Q5003624					a recognition of meritorious service	base
commencement	15265518	TimePosition	+								"the time at which something is supposed to begin; ""they got an early start""; ""she knew fro"	base
commerce	01090446	CommercialService	+								transactions (sales and purchases) having the objective of supplying commodities (goods an	base
commercial-enterprise	01094725	CommercialService	+								the activity of providing goods and services involving financial and commercial and indust	base
commission	13320860	CurrencyMeasure	+								a fee for services rendered based on a percentage of an amount received or collected or ag	base
commitment	01206153	SubjectiveAssessmentAttribute	+				Mx4riIdgZm-GQdeMf6g4pY3ONA				"the act of binding yourself (intellectually or emotionally) to a course of action; ""his lo"	base
committee	08324514	Commission	=		Committee	Q865588	Mx4rvaG5hJwpEbGdrcN5Y29ycA				"a special group delegated to consider some matter; ""a committee is a group that keeps minu"	base
commodity	03076708	Product	=			Q317088	Mx4rvViSe5wpEbGdrcN5Y29ycA				articles of commerce	base
common-sense	05614657	PsychologicalAttribute	+			Q332880	Mx4rQS6kemBsEdqAAACQJw5drg				"sound practical judgment; ""Common sense is not so common""; ""he hasn't got the sense God ga"	base
communication	06252138	Communication	=				Mx4rPRIjqlmVRG2VbbBIKAOvvg				"the activity of communicating; the activity of conveying information; ""they could not act "	base
communicative-contact	07279285	Communication	+								"a communicative interaction; ""the pilot made contact with the base""; ""he got in touch with"	base
communist	09945603	Communist	=			Q28528560					a member of the communist party	base
community	08223802	GroupOfPeople	+		Community	Q177634	Mx4rvdFcWZwpEbGdrcN5Y29ycA			Community	"a group of people living in a particular local area; ""the team is drawn from all parts of "	base
compact	03079136	Automobile	+			Q946808					a small and economical car	base
companionship	13929588	Meeting	+								"the state of being with someone; ""he missed their company""; ""he enjoyed the society of his"	base
company	08058098	Corporation	=		Company	Q783794					"an institution created to conduct business; ""he only invests in large well-established com"	base
comparison	13853808	Comparing	=		Comparison	Q141122952	Mx4rC0gL-sCwEdmAAAACs6hRjg				relation based on similarities and differences	base
compartment	03080309	Region	+				Mx4rfQdsPieJQdiVxIu49YksIw				a space into which an area is subdivided	base
compassion	04829550	TraitAttribute	+			Q1412160					the humane quality of understanding the suffering of others and wanting to do something ab	base
competence	05153520	SubjectiveAssessmentAttribute	+				Mx4rvVit4JwpEbGdrcN5Y29ycA				the quality of being adequately or well qualified physically and intellectually	base
competition	01168569	Contest	+		Competition	Q319676	Mx4rvViAGpwpEbGdrcN5Y29ycA				"the act of competing as for profit or a prize; ""the teams were in fierce contention for fi"	base
competition-jury	08414807	Group	+								a committee appointed to judge a competition	base
competitive-edge	05158857	SubjectiveAssessmentAttribute	+								"a slight competitive advantage; ""he had an edge on the competition"""	base
competitive-lead	05157143	SubjectiveAssessmentAttribute	+								"an advantage held by a competitor in a race; ""he took the lead at the last turn"""	base
complication	13933221	SubjectiveAssessmentAttribute	+			Q1346149	Mx4rFBo7_i85QdiZ78b5I7iLiQ				"a situation or condition that is complex or confused; ""her coming was a serious complicati"	base
component	03081021	EngineeringComponent	=				Mx4rwUTJ_JwpEbGdrcN5Y29ycA				an artifact that is one of the individual parts of which a composite entity is made up; es	base
composer	09947232	Composer	=		Composer	Q36834	Mx4rvVjp3ZwpEbGdrcN5Y29ycA				someone who composes music as a profession	base
composition	06409752	Article	+								"an essay (especially one written as an assignment); ""he got an A on his composition"""	base
compound	14818238	CompoundSubstance	=			Q5156823					(chemistry) a substance formed by chemical union of two or more elements or ingredients in	base
compromise	07179342	Committing	+			Q726686	Mx4rBYhUVjATQdiCTa5OBT7H4A				"an accommodation in which both sides make concessions; ""the newly elected congressmen reje"	base
computer	03082979	Computer	=		Computer	Q68	Mx4rvVjXzZwpEbGdrcN5Y29ycA				a machine for performing calculations automatically	base
computer-memory	03744276	ComputerMemory	=			Q5830907	Mx4rZKar3id_Qriu4gcmrd_H1Q				"an electronic memory device; ""a memory and the CPU form the central part of a computer to "	base
computer-menu	06493392	ComputerMenu	=			Q846925					(computer science) a list of options available to a computer user	base
computer-mouse	03793489	ComputerMouse	=		Computer_mouse	Q7987	Mx4rvVjLo5wpEbGdrcN5Y29ycA				a hand-operated electronic device that controls the coordinates of a cursor on your comput	base
computer-program	06568978	ComputerProgram	=		Computer_program	Q40056					"(computer science) a sequence of instructions that a computer can interpret and execute; """	base
computer-science	06128570	ComputerScience	=			Q179310					the branch of engineering science that studies (with the aid of computers) computable proc	base
computer-virus	06585816	ComputerProgram	+		Computer_virus		Mx4rvViKVpwpEbGdrcN5Y29ycA				a software program capable of reproducing itself and usually capable of causing great harm	base
computer-worm	06586098	ComputerProgram	+		Computer_worm	Q180712					a software program capable of reproducing itself that can spread from one computer to the 	base
comrade	09877124	Man	+			Q632316					"used as a term of address for those male persons engaged in the same movement; ""Greetings,"	base
concentration	05038593	DensityFn	+								the strength of a solution; number of molecules of a substance in a given volume	base
concept	05835747	Proposition	+		Concept	Q151885	Mx4rcAmbiMb8EdmAAAACs6hRjg			Concept	an abstract or general idea inferred or derived from specific instances	base
conception	00844847	SexualReproduction	+			Q2666904					the act of becoming pregnant; fertilization of an ovum by a spermatozoon	base
concern	07524529	Anxiety	+				Mx4rvViT8JwpEbGdrcN5Y29ycA				"an anxious feeling; ""care had aged him""; ""they hushed it up out of fear of public reaction"	base
concern.cognition	05670710	Proposition	+								"something that interests you because it is important or affects you; ""the safety of the sh"	base
concert	06892775	MusicalPerformance	+			Q182832					a performance of music by players or singers not involving theatrical staging	base
concession	07216412	Committing	+				Mx4r7nNaphxgQdiTFOb5_1OC1g				"a point conceded or yielded; ""they won all the concessions they asked for"""	base
conclusion	06398401	Communication	+			Q43338988					"the last section of a communication; ""in conclusion I want to say..."""	base
concrete	14820180	Concrete	=		Concrete	Q22657	Mx4rvVkDYJwpEbGdrcN5Y29ycA				a strong hard building material composed of sand and gravel and cement and water	base
condition	13920835	Attribute	+								"a state at a particular time; ""a condition (or state) of disrepair""; ""the current status o"	base
conductor	09953052	Position	+			Q2962041	Mx4rvVjXipwpEbGdrcN5Y29ycA				the person who collects fares on a public conveyance	base
confederacy	09050244	ConfederateStatesOfAmerica	=			Q81931					the southern states that seceded from the United States in 1861	base
confederation	08303275	PoliticalOrganization	+		Confederation						a union of political organizations	base
conference	08308497	FormalMeeting	=				Mx4rvVjlEJwpEbGdrcN5Y29ycA				a prearranged meeting for consultation or exchange of information or discussion (especiall	base
confession	07216083	Stating	+			Q1207595	Mx4rmU3JTjABQdiVL9HjE0SSnA				an admission of misdeeds or faults	base
confidence	07526505	PsychologicalAttribute	+			Q4116378	Mx4rvVici5wpEbGdrcN5Y29ycA				"a feeling of trust (in someone or something); ""I have confidence in our team""; ""confidence"	base
confirmation	05825245	Reasoning	+			Q214802					additional proof that something that was believed (some fact or hypothesis or theory) is c	base
conflict	13980845	Contest	+				Mx4rvyEmy5wpEbGdrcN5Y29ycA				"a state of opposition between persons or ideas or interests; ""his conflict of interest mad"	base
conformity	01203676	NormativeAttribute	+				Mx4r8YFlssCrEdmAAAACs6hRjg				"acting according to certain accepted standards; ""their financial statements are in conform"	base
confrontation	07181713	Contest	+			Q65089988					discord resulting from a clash of ideas or opinions	base
confusion	00072473	PsychologicalProcess	+			Q5157911	Mx4rvcJtEZwpEbGdrcN5Y29ycA				"a mistake that results from taking one thing to be another; ""he changed his name in order "	base
conglomerate	08058937	Corporation	+			Q191704					a group of diverse companies under common ownership and run as a single organization	base
congress	08318691	LegislativeOrganization	+		Congress	Q643412					a national legislative assembly	base
congressman	09955781	PoliticalFigure	+			Q14761450					a member of the United States House of Representatives	base
conjunction	07415167	Near	+			Q191536	Mx4rwTbES5wpEbGdrcN5Y29ycA				(astronomy) apparent meeting or passing of two or more celestial bodies in the same degree	physics
connectedness	14419164	Attribute	+								"the state of being connected; ""the connection between church and state is inescapable"""	base
connection	00316989	Motion	+								"shifting from one form of transportation to another; ""the plane was late and he missed his"	base
conscience	09184136	PsychologicalAttribute	+			Q193526	Mx4rP9i8ESwaEdiUggAH6RYvSQ				motivation deriving logically from ethical or moral principles that govern a person's thou	base
consciousness	05675130	ConsciousnessAttribute	=			Q7087	Mx4rv9Dgb5wpEbGdrcN5Y29ycA				"an alert cognitive state in which you are aware of yourself and your situation; ""he lost c"	base
conscription	01157850	Ordering	+			Q580750					compulsory military service	base
consensus	13971901	Cooperation	+				Mx4rvViQRJwpEbGdrcN5Y29ycA				"agreement in the judgment or opinion reached by a group as a whole; ""the lack of consensus"	base
consequence	11410625	Process	+								"a phenomenon that follows and is caused by some previous phenomenon; ""the magnetic effect "	base
conservation	00819274	Maintaining	+								the preservation and careful management of the environment and of natural resources	base
conservation-law	06104073	Proposition	+								(physics) the maintenance of a certain quantities unchanged during chemical reactions or p	physics
consideration	04841358	PsychologicalAttribute	+			Q831637					"kind and considerate regard for others; ""he showed no consideration for her feelings"""	base
consolation	01211667	Helping	+			Q1990010					"the act of consoling; giving relief in affliction; ""his presence was a consolation to her"""	base
conspiracy	05908882	Plan	+		Conspiracy	Q930164					a plot to carry out some harmful or illegal act (especially a political plot)	base
constellation	09252970	AstronomicalBody	+		Constellation	Q8928	Mx4rwPuslJwpEbGdrcN5Y29ycA				a configuration of stars as seen from the earth	base
constituency	08238156	Group	+								the body of voters who elect a representative for their area	base
constituent-state	08654360	StateOrProvince	=	schema:State	State	Q34876					"the territory occupied by one of the constituent administrative districts of a nation; ""hi"	base
constitution	04933544	Attribute	+		Constitution	Q7755					the way in which someone or something is composed	base
constraint	13998781	NormativeAttribute	+								"the state of being physically constrained; ""dogs should be kept under restraint"""	base
consultation	07143137	Meeting	+			Q4014799					"a conference between two or more people to consider a particular question; ""frequent consu"	base
consumer	09612848	Consumer	=			Q22855	Mx4rwJYlw5wpEbGdrcN5Y29ycA				a person who uses goods or services	base
consumption	00838098	Ingesting	=								the process of taking food into the body through the mouth (as by eating)	base
contact	00039297	Communication	+								"close interaction; ""they kept in daily contact""; ""they claimed that they had been in conta"	base
container	03094503	ShipContainer	=		Container	Q187956	Mx4rvVjOGJwpEbGdrcN5Y29ycA				any object that can be used to hold things (especially a large metal boxlike object of sta	base
containment	03095965	Device	+								(physics) a system designed to prevent the accidental release of radioactive material from	physics
contamination	00276987	Pollution	+								the act of contaminating or polluting; including (either intentionally or accidentally) un	base
contemporary	09960417	AgeGroup	=								a person of nearly the same age as another	base
contempt	07502980	Contempt	=			Q5338825	Mx4rvVill5wpEbGdrcN5Y29ycA				"lack of respect accompanied by a feeling of intense dislike; ""he was held in contempt""; ""t"	base
contest	07456188	Contest	=								an occasion on which a winner is selected from among two or more contestants	base
context	14512817	Proposition	+				Mx4rvViA1ZwpEbGdrcN5Y29ycA				"the set of facts or circumstances that surround a situation or event; ""the historical cont"	base
continent	09254614	Continent	=	schema:Continent	Continent	Q5107	Mx4rrUePtGV9Ed2AAABQjYGu0g				"one of the large landmasses of the earth; ""there are seven continents""; ""pioneers had to c"	base
contract	06520944	Contract	=		Contract		Mx4rvZvacpwpEbGdrcN5Y29ycA			Contract	a binding agreement between two or more persons that is enforceable by law	base
contract-condition	06770875	Text	=								"(usually plural) a statement of what is required as part of an agreement; ""the contract se"	base
contraction	00369802	OrganOrTissueProcess	+			Q127006					(physiology) a shortening or tensing of a part or organ (especially of a muscle or muscle 	base
contradiction	07206887	Proposition	+			Q363948					"(logic) a statement that is necessarily false; ""the statement `he is brave and he is not b"	base
contrary	13858270	Entity	+								"exact opposition; ""public opinion to the contrary he is not guilty"""	base
contrast	13855627	Entity	+			Q690182					"the opposition or dissimilarity of things that are compared; ""in contrast to"", ""by contras"	base
contribution	01089778	UnilateralGiving	+			Q1124860					act of giving in common with others for a common purpose especially to a charity	base
control-stick	04317976	VehicleController	+			Q178805					a lever used by a pilot to control the ailerons and elevators of an airplane	base
convalescence	13452347	PhysiologicProcess	+			Q1891441					gradual healing (through rest) after sickness or injury	base
conventionality	04801532	SubjectiveAssessmentAttribute	+								orthodoxy as a consequence of being conventional	base
conversation	07133701	Speaking	=	schema:Conversation			Mx4rvgD6CpwpEbGdrcN5Y29ycA				the use of speech for informal exchange of views or ideas or information etc.	base
conversion	07415730	Process	+			Q2603777	Mx4rvrlPMZwpEbGdrcN5Y29ycA				an event that results in a transformation	base
conviction	05942888	Proposition	+								an unshakable belief in something without need for proof or evidence	base
cook	09963320	Human	+			Q156839					someone who cooks food	base
cookie	07635155	PreparedFood	+			Q13266					any of various small flat sweet cakes (`biscuit' is the British term)	base
cooking-pan	03880531	PotOrPan	=								cooking utensil consisting of a wide metal vessel	base
cooking-pot	03990474	PotOrPan	+								metal or earthenware cooking vessel that is usually round and deep; often has a handle and	base
cooperation	00411384	Cooperation	=		Cooperation						"the practice of cooperating; ""economic cooperation""; ""they agreed on a policy of cooperati"	base
copernican-system	05890642	Proposition	+								(astronomy) Copernicus' astronomical model in which the Earth rotates around the sun	physics
copper	14635722	Copper	=			Q753					a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs	base
copy	03104594	Artifact	+			Q1637891	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvkNufpwpEbGdrcN5Y29ycB4rvWStbZwpEbGdrcN5Y29ycB4rvWYG5pwpEbGdrcN5Y29ycA				"a thing made to be similar or identical to another thing; ""she made a copy of the designer"	base
copyright	06473168	Certificate	+				Mx4rvViz-JwpEbGdrcN5Y29ycA				a document granting exclusive right to publish and sell literary or musical or artistic wo	base
cord	03106722	Fabric	+			Q1132110	Mx4rsMFskBRKEdaKEwCQJ5pcGA				a cut pile fabric with vertical ribs; usually made of cotton	base
cordial-reception	06631506	Expressing	+			Q815825					kindness in welcoming guests or strangers	base
core	08524262	GeographicArea	+			Q23595					"the center of an object; ""the ball has a titanium core"""	base
coriolis-effect	11413263	Physical	+								(physics) an effect whereby a body moving in a rotating frame of reference experiences the	physics
coriolis-force	11440123	Radiating	+								(physics) a force due to the earth's rotation; acts on a body in motion (airplane or proje	physics
corn	07731952	MaizeGrain	=			Q25618328					ears of corn that can be prepared and served for human food	base
corner	08659993	Region	+								"the point where three areas or surfaces meet or intersect; ""the corners of a cube"""	base
corpuscular-theory	06106084	Proposition	+								(physics) the theory that light is transmitted as a stream of particles	physics
correction	00258854	SubjectiveAssessmentAttribute	+								the act of offering an improvement to replace a mistake; setting right	base
correlation	13841651	Relation	+			Q186290					a reciprocal relation between two or more things	base
correspondence	06623614	Corresponding	+								communication by the exchange of letters	base
corruption	00159396	Process	+		Corruption	Q366	Mx4rvqwYUZwpEbGdrcN5Y29ycA				inducement (as of a public official) by improper means (as bribery) to violate duty (as by	base
cosmic-string	09449282	SubatomicParticle	+			Q1431196					(cosmology) a hypothetical one-dimensional subatomic particle having a concentration of en	physics
cost-estimate	06783598	Stating	+								"a statement indicating the likely cost of some job; ""he got an estimate from the car repai"	base
costume	03113657	Clothing	+		Costume	Q9053464	Mx4rvVkDhJwpEbGdrcN5Y29ycA				"the attire worn in a play or at a fancy dress ball; ""he won the prize for best costume"""	base
cotton	03115180	CottonFabric	=			Q11457	Mx4rwP1Vy5wpEbGdrcN5Y29ycA				fabric woven from cotton fibers	base
council	08310949	OrganizationalBoard	+		Council	Q4358176	Mx4rtWvackq1EdiedwAH6RYvSQ				"a body serving in an administrative capacity; ""student council"""	base
counter	03116530	Table	+			Q599007					table consisting of a horizontal surface over which business is transacted	base
counterspy	09970192	Position	+			Q501700					a spy who works against enemy espionage	base
country	08168978	Nation	=	schema:Country	Country	Q6256	Mx4rvViIeZwpEbGdrcN5Y29ycA				"a politically organized body of people under a single government; ""the state has elected a"	base
countryside	08645033	Rural	+			Q175185	Mx4rvViEg5wpEbGdrcN5Y29ycA				rural regions	base
coup-d'etat	01145015	PoliticalProcess	+				Mx8NhB4rkxkgaNzqEdmAAAACs6M1Wg-LY291cCBkJ2V0YXQeK71Yg-GcKRGxna3DeWNvcnAPpDM0MGZhZjkyLWY0ZWQtMTFkOS05YmVhLTAwMDJiM2E4NWIwYg				a sudden and decisive change of government illegally or by force	base
couple	07985628	GroupOfPeople	+				Mx4rKdOBCHazQ7mnmLZffc08tQ				"a pair who associate with one another; ""the engaged couple""; ""an inseparable twosome"""	base
coupon	06518068	Certificate	+			Q689044					a negotiable certificate that can be detached and redeemed as needed	base
courage	04857083	TraitAttribute	+			Q208160	Mx4rvViEA5wpEbGdrcN5Y29ycA				a quality of spirit that enables you to face danger or pain without showing fear	base
course	00038262	IntentionalProcess	+	schema:Course	Course		Mx4rvViVQ5wpEbGdrcN5Y29ycA				"a mode of action; ""if you persist in that course you will surely fail""; ""once a nation is "	base
course-credit	00065855	ContestAttribute	+								recognition by a college or university that a course of studies has been successfully comp	base
course-drift	13469674	Motion	+								the gradual departure from an intended course due to external influences (as a ship or pla	base
course-of-instruction	00884466	EducationalProcess	+								"education imparted in a series of lessons or meetings; ""he took a course in basket weaving"	base
course-of-study	06676416	NormativeAttribute	+			Q207137	Mx4rvVi4T5wpEbGdrcN5Y29ycA				"an integrated course of academic studies; ""he was admitted to a new program at the univers"	base
court	03120198	Courtyard	=		Court	Q1255269	Mx4rwIt59JwpEbGdrcN5Y29ycA				"an area wholly or partly surrounded by walls or buildings; ""the house was built around an "	base
courtesy	01228245	SubjectiveAssessmentAttribute	+				Mx4rj5qZEizGEdiUgwAH6RYvSQ				a courteous or respectful or considerate act	base
courtship	07188685	SocialInteraction	+			Q376596	Mx4rNwYcKC_tQdiIRsN2zc1CxA				a man's courting of a woman; seeking the affections of a woman (usually with the hope of m	base
cousin	09972010	BiologicalAttribute	+			Q23009870					the child of your aunt or uncle	base
couturier	09972157	SkilledOccupation	+								someone who designs clothing	base
coverage	06683784	Disseminating	+								"the news as presented by reporters for newspapers or radio or television; ""they accused th"	base
cow	02403454	FemaleCow	=								"female of domestic cattle: ""`moo-cow' is a child's term"""	base
crack	09258715	Hole	+			Q330694					a long narrow opening	base
crack-up	14066492	DiseaseOrSyndrome	+								a mental or physical breakdown	base
crackpot	09974496	Human	+			Q1138434					a whimsically eccentric person	base
craft	05621178	PsychologicalAttribute	+		Craft		Mx4rv3YRB5wpEbGdrcN5Y29ycA				shrewdness as demonstrated by being skilled in deception	base
craftsman	09974648	OccupationalTrade	+			Q1294787	Mx4rvVie_pwpEbGdrcN5Y29ycA				a skilled worker who practices some trade or handicraft	base
craftsmanship	05638063	Proposition	+			Q8035029					skill in an occupation or trade	base
crash	07301950	Impacting	+				Mx4r3lYWvnOsQdmZ6ZV5MizB3Q				"a serious accident (usually involving one or more vehicles); ""they are still investigating"	base
cream	07847198	Cream	=			Q13228					the part of milk containing the butterfat	base
creation	00908492	Making	=								the human act of creating	base
credibility	04782878	ProbabilityRelation	+			Q1530061	Mx4rBO0NBL-uQdifi_ksjOSg2w				the quality of being believable or trustworthy	base
credit	13378518	CurrencyMeasure	+			Q182076					money available for a client to borrow	base
credit-card	13376012	CreditCard	=	schema:CreditCard	Credit_card	Q1436963	Mx4rvVjO6pwpEbGdrcN5Y29ycA				a card (usually plastic) that assures a seller that the person using it has a satisfactory	base
creed	05959954	Proposition	+				Mx4rm0jUMCy7QdicDL-y_RmcRg				any system of principles or beliefs	base
crevice	13907272	ShapeAttribute	+								a long narrow depression in a surface	base
crew	08273167	ShipCrew	=			Q345844					the men and women who man a vehicle (ship, aircraft, etc.)	base
cricket	02229544	Insect	+			Q27711	Mx4rvVkApZwpEbGdrcN5Y29ycA				leaping insect; male makes chirping noises by rubbing the forewings together	base
crime	00766234	NormativeAttribute	+		Crime	Q83267					"(criminal law) an act punishable by law; usually considered an evil act; ""a long record of"	base
criminal	09977660	Criminal	=			Q217731	Mx4rvVjIu5wpEbGdrcN5Y29ycA				someone who has committed a crime or has been legally convicted of a crime	base
criminal-record	06490173	Text	+								"a list of crimes for which an accused person has been previously convicted; ""he ruled that"	base
crisis	13933560	SubjectiveAssessmentAttribute	+		Crisis	Q381072	Mx4rPp_CThrWQdiMu6ktNJrpLw				"an unstable situation of extreme danger or difficulty; ""they went bankrupt during the econ"	base
crisp	07712559	Food	+			Q173265					a thin crisp slice of potato fried in deep fat	base
critic	09979589	ArtCritic	+			Q6430706	Mx4rxLwPEBPHQdiOxIH5gWCidg				a person who is professionally engaged in the analysis and interpretation of works of art	base
criticism	06710546	Stating	+		Criticism	Q1789540					"disapproval expressed by pointing out faults or shortcomings; ""the senator received severe"	base
critique	06410391	Text	+				Mx4rowZidLkHEdaAAAACs1uxFw				an essay or article that gives a critical evaluation (as of a book or play)	base
crook	13869327	ShapeAttribute	+								"a circular segment of a curve; ""a bend in the road""; ""a crook in the path"""	base
crop	13085864	FruitOrVegetable	+			Q213753	Mx4rvXdCPZwpEbGdrcN5Y29ycA				the yield from plants in a single growing season	base
cross	03135532	Artifact	+		Cross	Q40843	Mx4rwQBn0ZwpEbGdrcN5Y29ycA				a wooden structure consisting of an upright post with a transverse piece	base
crossing	03137228	Region	+			Q8010	Mx4rvzl6RJwpEbGdrcN5Y29ycA				a path (often marked) where something (as a street or railroad) can be crossed to get from	base
crowd	08182379	SubjectiveAssessmentAttribute	=			Q13430821	Mx4rwPzWJ5wpEbGdrcN5Y29ycA				"a large number of things or people considered together; ""a crowd of insects assembled arou"	base
crown	03138669	Clothing	+			Q170984	Mx4rvW19gpwpEbGdrcN5Y29ycA				an ornamental jeweled headdress signifying sovereignty	base
cruelty	07506382	PsychologicalAttribute	+			Q1936750					feelings of extreme heartlessness	base
cruise	00312932	Transportation	+								an ocean trip taken for pleasure	base
crutch	03141823	Device	+			Q268828	Mx4rvVjMQ5wpEbGdrcN5Y29ycA				a wooden or metal staff that fits under the armpit and reaches to the ground; used by disa	base
cry	07120524	Expressing	+			Q471379					"a loud utterance; often in protest or opposition; ""the speaker was interrupted by loud cri"	base
crystal	03142834	Artifact	+		Crystal	Q43533					glassware made of quartz	base
cube	13914608	ShapeAttribute	+				Mx4rwP4qT5wpEbGdrcN5Y29ycA				a three-dimensional shape with six square or rectangular sides	base
cubicle	02991555	Room	+			Q1776533	Mx4rkTK1rJUNEdaAAACgycbRww				small room in which a monk or nun lives	base
cucumber	07718472	Cucumber	=			Q2735883					cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related	base
culmination	08548239	Region	+								(astronomy) a heavenly body's highest celestial point above an observer's horizon	physics
culture	06194409	PropositionalAttitude	+		Culture	Q11042					the attitudes and behavior that are characteristic of a particular social group or organiz	base
cup	03147509	Cup	=		Cup	Q81727	Mx4rGHQaMkC6EdqAAAACs71DGQ				"a small open container usually used for drinking; usually has a handle; ""he put the cup ba"	base
cupboard	03148324	Closet	+			Q1723368	Mx4rvVj1HJwpEbGdrcN5Y29ycA				a small room (or recess) or cabinet used for storage space	base
cupful	13766733	Cup	+			Q81707					"the quantity a cup will hold; ""he drank a cup of coffee""; ""he borrowed a cup of sugar"""	base
curate	09983572	Cleric	+			Q1753370					"a person authorized to conduct religious worship; ""clergymen are usually called ministers "	base
curl	05257737	Hair	+			Q206310					a strand or cluster of hair	base
currency	13385913	Currency	=		Currency	Q8142	Mx4rvVjMQpwpEbGdrcN5Y29ycA				the metal or paper medium of exchange that is presently used	base
current	11443532	Radiating	+			Q11651	Mx4rvVjhJ5wpEbGdrcN5Y29ycA				"a flow of electricity through a conductor; ""the current was measured in amperes"""	base
curtain	03151077	Curtain	+		Curtain	Q49005	Mx4rvVicuJwpEbGdrcN5Y29ycA				hanging cloth used as a blind (especially for a window)	base
curve	07000941	TwoDimensionalFigure	=		Curve	Q161973					a line on a graph representing data	base
curved-shape	13867641	TwoDimensionalFigure	+								the trace of a point whose direction of motion changes	base
cushion	03151500	Artifact	+		Cushion	Q10971235	Mx4rvVijGJwpEbGdrcN5Y29ycA				a soft bag filled with air or a mass of padding such as feathers or foam rubber etc.	base
custody	01147347	Confining	+								"holding by the police; ""the suspect is in custody"""	base
custom	05667404	SubjectiveAssessmentAttribute	=			Q82821	Mx4rmd2JElCEEdqAAAACs6hbjw				a specific practice of long standing	base
customer	09984659	Human	+			Q247797	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rvVjK1JwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycA				someone who pays for goods or services	base
cut	00352331	Process	+				Mx4r_-dbKgS-QdiFIu-p6Bu3NA				"the act of reducing the amount or number; ""the mayor proposed extensive cuts in the city b"	base
cut-rate-sale	01117723	Selling	+								"an occasion (usually brief) for buying at specially reduced prices; ""they held a sale to r"	base
cycle	07342495	Process	+			Q245595	Mx4rCGbRkO18EdyAAAACs6hbjw				"a periodically repeated sequence of events; ""a cycle of reprisal and retaliation"""	base
cylinder	13865298	Cylinder	=			Q34132	Mx4rwQBgIZwpEbGdrcN5Y29ycA				a solid bounded by a cylindrical surface and two parallel planes (the bases)	base
dad	09988063	Man	+								an informal term for a father; probably derived from baby talk	base
dairy	03159535	StationaryArtifact	+		Dairy	Q637776	Mx4rvViv05wpEbGdrcN5Y29ycA				a farm where dairy products are produced	base
dairy-product	07843775	DairyArtifact	=			Q185217	Mx4rvVjM3ZwpEbGdrcN5Y29ycA				milk and butter and cheese	base
dalton's-law	05876469	Proposition	+								(chemistry and physics) law stating that the pressure exerted by a mixture of gases equals	physics
damage	07420770	SubjectiveAssessmentAttribute	+								the occurrence of a change for the worse	base
danger	14540765	SubjectiveAssessmentAttribute	=								"the condition of being susceptible to harm or injury; ""you are in no danger""; ""there was w"	base
dark	13983515	Unilluminated	=			Q204170					absence of light or illumination	base
dark-blue	04969703	ColorAttribute	+			Q5975887					a dark shade of blue	base
darling	09991867	Favorite	+								a special loved one	base
dash	04812871	SubjectiveAssessmentAttribute	+								"distinctive and stylish elegance; ""he wooed her with the confident dash of a cavalry offic"	base
data-chart	06999802	GraphDiagram	+								a visual display of information	base
data-file	06508816	FactualText	=			Q82753					a set of related records (either written or electronic) kept together	base
dataset				schema:Dataset	Dataset							base
date	07765073	DateFruit	=			Q1652093					sweet edible fruit of the date palm with a single long woody seed	base
daughter	09992837	BiologicalAttribute	+			Q308194					"a female human offspring; ""her daughter cared for her in her old age"""	base
dawn	15168790	Sunrise	+			Q193294					"the first light of day; ""we got up before dawn""; ""they talked until morning"""	base
day	15155220	Day	=		Day						"time for Earth to make a complete rotation on its axis; ""two days later they left""; ""they "	base
day-of-the-month	15159583	Day	+				Mx4rvVjiZ5wpEbGdrcN5Y29ycA				"the specified day of the month; ""what is the date today?"""	base
daylight	11444038	RadiatingLight	+			Q16491	Mx4rvVjiKZwpEbGdrcN5Y29ycA				light during the daytime	base
daze	05684561	PsychologicalAttribute	+								confusion characterized by lack of clarity	base
dead-body	05217859	HumanCorpse	=								"a natural object consisting of a dead animal or person; ""they found the body in the lake"""	base
deadline	15180082	TimePosition	+								the point in time at which something must be completed	base
deal	01085337	Giving	+								"the act of distributing playing cards; ""the deal was passed around the table clockwise"""	base
dearth	14449865	SubjectiveAssessmentAttribute	+			Q123493179					an acute insufficiency	base
