name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	gpt	opencyc	bfo	dolce	dul	gloss	origin
cheek	05602835	Face	=			Q47038		Mx4rvVi5WZwpEbGdrcN5Y29ycA				either side of the face below the eyes	base
cheese	07850329	Cheese	=		Cheese	Q10943	429	Mx4rvVjOAZwpEbGdrcN5Y29ycA				a solid food prepared from the pressed curd of milk	base
cheese-dip	07582892	PreparedFood	+				6831a					a dip made of cheeses	base
cheesemonger	09913741	SalesPosition	+									someone who sells cheese	economics
chemical	14806838	Substance	+			Q79529	2277					material produced by or used in a reaction involving changes in atoms or molecules	base
chemical-element	14622893	ElementalSubstance	=		Chemical_element	Q11344						any of the more than 100 known substances (of which 92 occur naturally) that cannot be sep	base
chemical-reaction	13447361	ChemicalProcess	+		Chemical_reaction	Q36534		Mx4rvVibyJwpEbGdrcN5Y29ycA				"(chemistry) a process in which one or more substances are changed into others; ""there was "	base
chemical-solution	14589223	Solution	=			Q146654						a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid	base
chemistry	06084469	Chemistry	@			Q2329						the science of matter; the branch of the natural sciences dealing with the composition of 	base
cherimoya	07761141	FruitOrVegetable	+			Q3205924	6602					large tropical fruit with leathery skin and soft pulp; related to custard apples	base
cherry	07757132	FruitOrVegetable	+			Q196	6601	Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rwPvUq5wpEbGdrcN5Y29ycA				a red fruit with a single hard stone	base
chess-king	03618101	GamePiece	+			Q138						(chess) the weakest but the most important piece	base
chest-of-drawers	03015254	ChestOrCabinet	+			Q17055495						furniture with drawers for keeping clothes	base
chicken	01791625	Chicken	=			Q184774						a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungl	base
chicory	07730855	Endive	+			Q158514	6717					crisp spiky leaves with somewhat bitter taste	base
chief	10162991	SocialRole	+									"a person who is in charge; ""the head of the whole operation"""	base
child	09918248	HumanChild	=			Q7569						"a human offspring (son or daughter) of any age; ""they had three children""; ""they were able"	base
child-adoption	01185292	RegulatoryProcess	+			Q180472						a legal proceeding that creates a parent-child relation between persons not related by blo	base
childhood	15147097	TimeInterval	+			Q7569						the time of person's life when they are a child	base
chime	03017168	PercussionInstrument	+			Q178812	7555b	Mx4rvV69tJwpEbGdrcN5Y29ycA				a percussion instrument consisting of a set of tuned bells that are struck with a hammer; 	base
chimney	03017428	Chimney	=		Chimney	Q170477		Mx4rQUU4BC-MEdqAAAACs71DGQ				a vertical flue that provides a path through which smoke from a fire is carried away throu	base
chin	05599617	Chin	+			Q82714		Mx4rvVjm7ZwpEbGdrcN5Y29ycA				the protruding part of the lower jaw	base
china-cabinet	03018349	ChestOrCabinet	+			Q56588168	448a	Mx4rvViPOpwpEbGdrcN5Y29ycA				a cabinet (usually with glass doors) for storing and displaying china	base
chip	03020034	ComputerHardware	+			Q80831	7257b	Mx4rvViEfZwpEbGdrcN5Y29ycA				electronic equipment consisting of a small crystal of a silicon semiconductor fabricated t	base
chips	07711080	PreparedFood	+			Q152088						strips of potato fried in deep fat	base
chit	06517942	FinancialBill	+									"the bill in a restaurant; ""he asked the waiter for the check"""	base
chocolate	07601999	Chocolate	=			Q195	4748b	Mx4rvVjMWJwpEbGdrcN5Y29ycA				a food made from roasted ground cacao beans	base
chopsticks	03025755	Device	+			Q81980	3699					one of a pair of slender sticks used as oriental tableware to eat food with	base
chord	06869951	Music	+			Q170439						a combination of three or more notes that blend harmoniously when sounded together	base
chorus	08187837	Choir	=			Q131186						a group of people assembled to sing together	base
chronicle	06514093	HistoricalAccount	+		Chronicle							"a record or narrative description of past events; ""a history of France""; ""he gave an inacc"	base
church	03028079	ChurchBuilding	+	schema:Church	Church	Q16970		Mx4r9X3JKB5sQdeJgPo6IIltRQ				"a place for public (especially Christian) worship; ""the church was empty"""	base
chute	03029603	Artifact	+									sloping channel through which things can descend	base
chutney	07823105	PreparedFood	+			Q275650	500075b					a spicy condiment made of chopped fruits or vegetables cooked in vinegar and sugar with gi	base
cigar	03030035	CigarOrCigarette	+			Q1576	3682	Mx4rvVjIKpwpEbGdrcN5Y29ycA				a roll of tobacco for smoking	base
cigar-cutter	03030557	Device	+			Q182058	6879a	Mx4rv3nwf5wpEbGdrcN5Y29ycA				an implement for cutting the tip off of a cigar	base
cigarette	03030663	CigarOrCigarette	+			Q1578	3151	Mx4rwPzxnJwpEbGdrcN5Y29ycA				finely ground tobacco wrapped in paper; for smoking	base
cigarette-case	03031012	Artifact	+			Q867246	6881					a small flat case for holding cigarettes; can be carried in a purse or a pocket	base
cigarette-holder	03031152	Tube	+			Q523753	500007					a tube that holds a cigarette while it is being smoked	base
cinch	03031756	Device	+			Q2588253	1491					stable gear consisting of a band around a horse's belly that holds the saddle in place	base
cinema	03032252	StationaryArtifact	+			Q41253						a theater where films are shown	base
circle	13873502	Circle	=			Q17278						ellipse in which the two axes are of equal length; a plane curve generated by one point mo	base
circuit-card	03033986	EngineeringComponent	+			Q216158						a printed circuit that can be inserted into expansion slots in a computer to increase the 	base
circular	07250339	Advertising	+			Q4264067						an advertisement (usually printed on a page or in a leaflet) intended for wide distributio	base
circularization	01101753	Giving	+					Mx4rj0GmtrvlEdmAAAACs6hRjg				circulating printed notices as a means of advertising	economics
circulation	11439031	OrganismProcess	+									movement through a circuit; especially the movement of blood through the heart and blood v	base
circumstance	05822746	SubjectiveAssessmentAttribute	=									"information that should be kept in mind when making a decision; ""another consideration is "	base
citation	06763681	Text	+			Q206287						"a short note recognizing a source of information or of a quoted passage; ""the student's es"	base
citizen	09923673	GroupOfPeople	+			Q1020994		Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvViACJwpEbGdrcN5Y29ycB4rvVjl2pwpEbGdrcN5Y29ycA				a native or naturalized member of a state or other political community	base
citrus-fruit	07747055	CitrusFruit	=			Q2574750	503759	Mx4rvVjoZpwpEbGdrcN5Y29ycA				any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm	base
city	08524735	City	=	schema:City	City	Q200250		Mx4rvVjnZ5wpEbGdrcN5Y29ycA				a large and densely populated urban area; may include several independent administrative d	base
city-ward	08672397	GeopoliticalArea	+									a district into which a city or town is divided for the purpose of administration and elec	base
civilian	09924742	Civilian	=			Q206887		Mx4rwQCE1JwpEbGdrcN5Y29ycA				a nonmilitary citizen	base
civilisation	08287844	SubjectiveAssessmentAttribute	=			Q1363442						"a particular society at a particular time and place; ""early Mayan civilization"""	base
civilization	08111783	SubjectiveAssessmentAttribute	+		Civilization	Q8432						a society in an advanced state of social development (e.g., with complex legal and politic	base
claim	06730563	Stating	+	schema:Claim								"an assertion that something is true or factual; ""his claim that he was innocent""; ""evidenc"	base
clamp	03036866	Clamp	+			Q846600	936b	Mx4rwI4V1pwpEbGdrcN5Y29ycA				a device (generally used by carpenters) that holds things firmly together	base
clarinet	03037709	Clarinet	=				88	Mx4rwQrt5ZwpEbGdrcN5Y29ycA				a single-reed instrument with a straight tube	base
clash	13981137	Contest	+									a state of conflict between persons	base
clasp	03038281	Device	+			Q1135567	505408a					a fastener (as a buckle or hook) that is used to hold two things together	base
class	07974025	Group	+	schema:Class		Q187588		Mx4rwQr9J5wpEbGdrcN5Y29ycA				"people having the same social, economic, or educational status; ""the working class""; ""an e"	base
classified-advertising					Classified_advertising	Q614278							economics
classified-stock	13335008	Stock	+									common stock classified as A or B where A has certain advantages (e.g., voting power) that	economics
classroom	03038685	Classroom	+			Q621114		Mx4rvVjwX5wpEbGdrcN5Y29ycA				a room in a school where lessons take place	base
claw	03532672	Device	+			Q1575000		Mx4rvVjcKZwpEbGdrcN5Y29ycA				a mechanical device that is curved or bent to suspend or hold or pull something	base
clay	14813182	Clay	=			Q42302	3692a					a very fine-grained soil that is plastic when moist but hard when fired	base
clay-pigeon	03039259	Device	+				3528					target used in skeet or trapshooting	base
clearance-sale	01118776	Selling	+									a sale to reduce inventory	economics
clearing-house						Q1609677							economics
clemency	01071411	SubjectiveAssessmentAttribute	+			Q336392		Mx4rj5n80yzGEdiUgwAH6RYvSQ				leniency and compassion shown toward offenders by a person or agency charged with administ	base
clerk	09928451	ClericalSecretary	+			Q738142						an employee who performs clerical work (e.g., keeps records or accounts)	base
cliff	09246464	Cliff	=		Cliff	Q107679		Mx4rvVjU5pwpEbGdrcN5Y29ycA				"a steep high face of rock; ""he stood on a high cliff overlooking the town""; ""a steep drop"""	base
climate	14519366	Attribute	+		Climate	Q7937						"the weather in some location averaged over some long period of time; ""the dank climate of "	base
clinic	08054076	Organization	+			Q1774898						a medical establishment run by a group of medical specialists	base
clip	03043958	Device	+	schema:Clip			543645b					any of various small fasteners used to hold loose articles together	base
clipboard	03044418	Device	+			Q204461	935	Mx4rvVimcZwpEbGdrcN5Y29ycA				a small writing board with a clip at the top for holding papers	base
clipping	06612649	Text	+			Q5134391		Mx4riW6uIDGSQdiAMPVXmw2S3Q				"an excerpt cut from a newspaper or magazine; ""he searched through piles of letters and cli"	base
clique	08240633	Group	+			Q761631						an exclusive circle of people with a common purpose	base
clock	03046257	Clock	=		Clock	Q376	3890	Mx4rvVjz8pwpEbGdrcN5Y29ycA				a timepiece that shows the time of day	base
clock-time	15129927	TimePosition	+									"a reading of a point in time as given by a clock; ""do you know what time it is?""; ""the tim"	base
clod	07961016	SelfConnectedObject	+									"a compact mass; ""a ball of mud caught him on the shoulder"""	base
closeout	01118890	Selling	+			Q266454						a sale intended to dispose of all remaining stock	economics
closet	04550184	ContainerChest	+			Q106106		Mx4rvVic15wpEbGdrcN5Y29ycA				a tall piece of furniture that provides storage space for clothes; has a door and rails or	base
closing-price	13304340	CurrencyMeasure	+					Mx4rqwJl-DyxSF2ybmp1o4SKmQ				(stock market) the price of the last transaction completed during a day's trading session	economics
closure	05789089	Selecting	+			Q17083837	505380b					"something settled or resolved; the outcome of decision making; ""they finally reached a set"	base
clothespin	03051249	Device	+			Q267290	5704	Mx4rvViO-pwpEbGdrcN5Y29ycA				wood or plastic fastener; for holding clothes on a clothesline	base
clothier	09930772	Position	+			Q17305512						a merchant who sells men's clothing	economics
clothing	03051540	Clothing	=		Clothing	Q11460	1604	Mx4rvk3sS5wpEbGdrcN5Y29ycA				a covering designed to be worn on a person's body	base
cloud	09247410	Cloud	=			Q8074						a visible mass of water or ice particles suspended at a considerable altitude	base
club	03053474	WalkingCane	+			Q1543881	7567a					"stout stick that is larger at one end; ""he carried a club in self defense""; ""he felt as if"	base
club-card	03053788	Artifact	+			Q1788166						"a playing card in the minor suit that has one or more black trefoils on it; ""he led a smal"	base
clue	06643763	Entity	+			Q123900396						evidence that helps to solve a problem	base
coach	09931418	Position	+			Q901222		Mx4rvVjlaJwpEbGdrcN5Y29ycA				a person who gives private instruction (as in singing, acting, etc.)	base
coal	14814616	Coal	=			Q732607		Mx4rwPRtHpwpEbGdrcN5Y29ycA				fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous perio	base
coalescence	00382109	Combining	+			Q2071902						the union of diverse things into one body or form or group; the growing together of parts	base
coaster	03056701	Device	+				2363	Mx4rv_o5hpwpEbGdrcN5Y29ycA				a covering (plate or mat) that protects the surface of a table (i.e., from the condensatio	base
coaster-wagon	04543509	TransportationDevice	+			Q53704360						a child's four-wheeled toy cart sometimes used for coasting	base
coat	03057021	Coat	=		Coat	Q152574	5598a	Mx4rvVjhHpwpEbGdrcN5Y29ycA				an outer garment that has sleeves and covers the body from shoulder down; worn outdoors	base
coating	03058107	CorpuscularObject	+					Mx4rt8VLALJtEdmAhAACs6hRjg				"a thin layer covering something; ""a second coat of paint"""	base
cocktail-sauce	07837110	PreparedFood	+			Q1105371	6772	Mx4rvXe3MZwpEbGdrcN5Y29ycA				usually catsup with horseradish and lemon juice	base
cocktail-shaker	03062245	Device	+			Q1105339	651a					a shaker for mixing cocktails	base
coconut	07773238	Coconut	+			Q3342808	6809					the edible white meat of a coconut; often shredded for use in e.g. cakes and curries	base
code	06355894	ComputerProgram	=	schema:Code	Code	Q4994879						(computer science) the symbolic arrangement of data or instructions in a computer program 	base
coevals	08369406	AgeGroup	+									all the people living at the same time or of approximately the same age	base
coffee	07929519	Coffee	=			Q8486	1868					"a beverage consisting of an infusion of ground coffee beans; ""he ordered a cup of coffee"""	base
coffee-cake	07630512	PreparedFood	+			Q555747	6196					a cake or sweet bread usually served with coffee	base
coffee-filter	03063199	Filter	+				3450	Mx4rvV5Rz5wpEbGdrcN5Y29ycA				filter (usually of paper) that passes the coffee and retains the coffee grounds	base
coffee-grinder	03063485	Device	+				734	Mx4rvViytJwpEbGdrcN5Y29ycA				a mill that grinds roasted coffee beans	base
coffee-maker	03063338	ElectricCoffeeMaker	=			Q211841	736a	Mx4rvViNKZwpEbGdrcN5Y29ycA				a kitchen appliance for brewing coffee automatically	base
coffee-table	03063968	Table	+			Q2407432	1395	Mx4rvViMFJwpEbGdrcN5Y29ycA				low table where magazines can be placed and coffee or cocktails are served	base
coffin	03064758	Coffin	+		Coffin	Q184418		Mx4rwPzb-ZwpEbGdrcN5Y29ycA				box in which a corpse is buried or cremated	base
cognition	00023271	PsychologicalAttribute	+			Q2200417		Mx4r2wb56Mb4EdmAAAACs6hRjg				the psychological result of perception and learning and reasoning	base
coil	03065424	ShapeAttribute	+			Q201717	1318					"a structure consisting of something wound in a continuous series of loops; ""a coil of rope"	base
coin	13388245	CurrencyCoin	=		Coin	Q41207	4151a	Mx4rvViJ0pwpEbGdrcN5Y29ycA				a flat metal piece (usually a disc) used as money	base
coinbase-transaction						Q56316252							economics
coincidence	07316999	Process	+			Q2308809						an event that might have been arranged although it was really accidental	base
coinsurance	13346209	Obligation	+			Q1047704						insurance issued jointly by two or more underwriters	economics
colander	03066849	Artifact	+			Q1057060	653a	Mx4rvu5OC5wpEbGdrcN5Y29ycA				bowl-shaped strainer; used to wash or drain foods	base
cold	14145501	ViralDisease	+			Q12125						"a mild viral infection involving the nose and respiratory passages (but not the lungs); ""w"	base
cold-chain						Q592197							economics
cold-storage	00811825	Keeping	+									refrigerated storage for preservation	economics
coldness	05015117	TemperatureMeasure	+			Q270952						"the absence of heat; ""the coldness made our breath visible""; ""come in out of the cold""; ""c"	base
collapse	07477945	Decreasing	+									a sudden large decline of business or the prices of stocks (especially one that causes add	base
collar	03068486	Artifact	+			Q152523		Mx4rvVjnnJwpEbGdrcN5Y29ycA				a band of leather or rope that is placed around an animal's neck as a harness or to identi	base
collateral	13352865	Collateral	=			Q694563						a security pledged for the repayment of a loan	economics
collateral-management						Q205595							economics
collateralized-debt-obligation						Q1108930		Mx4rzSRfx8WWSRinkaMpNQAx-Q					economics
colleague	09936215	SocialRole	+			Q12840987						an associate that one works with	base
collection	07951464	Collection	=	schema:Collection	Collection	Q2668072					Collection	several things grouped together or considered as a whole	base
college	08278324	College	=		College	Q189004		Mx4rwUHx0JwpEbGdrcN5Y29ycA				an institution of higher education created to educate and grant degrees; often a part of a	base
collusion						Q2751358							economics
cologne	03071021	Solution	+			Q365	479b					a perfumed liquid made of essential oils and alcohol	base
colon	05535869	BodyPart	+			Q11083		Mx4rvgLEM5wpEbGdrcN5Y29ycA				the part of the large intestine between the cecum and the rectum; it extracts moisture fro	base
colony	08499840	DependencyOrSpecialSovereigntyArea	+		Colony	Q133156						a geographical area politically controlled by a distant country	base
color	04674968	SubjectiveAssessmentAttribute	+		Color	Q1075		Mx4rr19QJHStEdaAAACgyZzFrg				the appearance of objects (or light sources) described in terms of a person's perception o	base
column	03073977	StationaryArtifact	+		Column	Q335297		Mx4rKEA0BEPcQdmYVKUGS7IK3Q				(architecture) a tall vertical cylindrical structure standing upright and used to support 	base
column.group	08433575	List	+									"a vertical array of numbers or other information; ""he added a column of numbers"""	base
coma	05680193	Unconscious	+			Q159557		Mx4rMfIY4VklEdaN7ABgCEAsSQ				a state of deep and often prolonged unconsciousness; usually the result of disease or inju	base
comb	03074855	BrushOrComb	+		Comb	Q23834	487a	Mx4rvVjoCpwpEbGdrcN5Y29ycA				a flat device with narrow pointed teeth on one edge; disentangles or arranges hair	base
combat-pay	13279809	Giving	+									extra pay for soldiers engaged in active combat	economics
combination	07963711	Combining	=		Combination							a collection of things that have been combined; an assemblage of separate parts or qualiti	base
combinatorial-auction						Q5150821							economics
comedy	07015510	DramaticPlay	=		Comedy	Q40831		Mx4r39RA-HS7EdaAAACgyZzFrg				light and humorous drama with a happy ending	base
comet	09251407	AstronomicalBody	+		Comet	Q3559						(astronomy) a relatively small extraterrestrial body consisting of a frozen mass that trav	base
comfort	14445379	EmotionalState	+									"a state of being relaxed and feeling no pain; ""he is a man who enjoys his comfort""; ""she l"	base
comforter	04033995	Fabric	+			Q5847	505287b	Mx4rv6MvZJwpEbGdrcN5Y29ycA				bedding made of two layers of cloth filled with stuffing and stitched together	base
comic-strip	07003352	ContentBearingObject	+		Comic_strip	Q838795		Mx4rvWsP2pwpEbGdrcN5Y29ycA				a sequence of drawings telling a story in a newspaper or comic book	base
coming-together	01230965	Meeting	=									"the social act of assembling for some common purpose; ""his meeting with the salesmen was t"	base
command	05641959	PsychologicalAttribute	+									"great skillfulness and knowledge of some subject or activity; ""a good command of French"""	base
commemoration	06688522	Expressing	+			Q5003624						a recognition of meritorious service	base
commencement	15265518	TimePosition	+									"the time at which something is supposed to begin; ""they got an early start""; ""she knew fro"	base
commerce	01090446	CommercialService	+									transactions (sales and purchases) having the objective of supplying commodities (goods an	base
commercial-credit	13379619	CreditAccount	+									credit granted by a bank to a business concern for commercial purposes	economics
commercial-enterprise	01094725	CommercialService	+									the activity of providing goods and services involving financial and commercial and indust	base
commercial-letter-of-credit	13380004	Certificate	+									a letter of credit given to a business concern for commercial purposes	economics
commercial-paper						Q1211555		Mx4rJKx_eA3PEduAAADggVbxzQ					economics
commercial-trade	01091905	FinancialTransaction	+			Q601401						the commercial exchange (buying and selling on domestic or international markets) of goods	economics
commission	13320860	CurrencyMeasure	+									a fee for services rendered based on a percentage of an amount received or collected or ag	base
commitment	01206153	SubjectiveAssessmentAttribute	+					Mx4riIdgZm-GQdeMf6g4pY3ONA				"the act of binding yourself (intellectually or emotionally) to a course of action; ""his lo"	base
committee	08324514	Commission	=		Committee	Q865588		Mx4rvaG5hJwpEbGdrcN5Y29ycA				"a special group delegated to consider some matter; ""a committee is a group that keeps minu"	base
commodity	03076708	Product	=			Q317088		Mx4rvViSe5wpEbGdrcN5Y29ycA				articles of commerce	base
commodity-exchange	03077074	Organization	+									an exchange for buying and selling commodities for future delivery	economics
commodity-market						Q1341287							economics
commodity-money						Q1470163							economics
common-sense	05614657	PsychologicalAttribute	+			Q332880		Mx4rQS6kemBsEdqAAACQJw5drg				"sound practical judgment; ""Common sense is not so common""; ""he hasn't got the sense God ga"	base
common-stock	13335172	CommonStock	=			Q1081659		Mx4rwU979JwpEbGdrcN5Y29ycA				stock other than preferred stock; entitles the owner to a share of the corporation's profi	economics
common-stock-equivalent	13336492	Stock	+									preferred stock or convertible bonds or warrants that can be converted into common stock	economics
commons						Q9828451							economics
communication	06252138	Communication	=					Mx4rPRIjqlmVRG2VbbBIKAOvvg				"the activity of communicating; the activity of conveying information; ""they could not act "	base
communicative-contact	07279285	Communication	+									"a communicative interaction; ""the pilot made contact with the base""; ""he got in touch with"	base
communist	09945603	Communist	=			Q28528560						a member of the communist party	base
community	08223802	GroupOfPeople	+		Community	Q177634		Mx4rvdFcWZwpEbGdrcN5Y29ycA			Community	"a group of people living in a particular local area; ""the team is drawn from all parts of "	base
compact	03079136	Automobile	+			Q946808						a small and economical car	base
companionship	13929588	Meeting	+									"the state of being with someone; ""he missed their company""; ""he enjoyed the society of his"	base
company	08058098	Corporation	=		Company	Q783794						"an institution created to conduct business; ""he only invests in large well-established com"	base
comparative-advantage						Q215551							economics
comparison	13853808	Comparing	=		Comparison	Q141122952		Mx4rC0gL-sCwEdmAAAACs6hRjg				relation based on similarities and differences	base
compartment	03080309	Region	+					Mx4rfQdsPieJQdiVxIu49YksIw				a space into which an area is subdivided	base
compassion	04829550	TraitAttribute	+			Q1412160						the humane quality of understanding the suffering of others and wanting to do something ab	base
compensation	13282550	Giving	+					Mx4r0ERRUh7HQdiE4qSaBoNP5Q				something (such as money) given or received as payment or reparation (as for a service or 	economics
competence	05153520	SubjectiveAssessmentAttribute	+					Mx4rvVit4JwpEbGdrcN5Y29ycA				the quality of being adequately or well qualified physically and intellectually	base
competition	01168569	Contest	+		Competition	Q319676		Mx4rvViAGpwpEbGdrcN5Y29ycA				"the act of competing as for profit or a prize; ""the teams were in fierce contention for fi"	base
competition-jury	08414807	Group	+									a committee appointed to judge a competition	base
competitive-edge	05158857	SubjectiveAssessmentAttribute	+									"a slight competitive advantage; ""he had an edge on the competition"""	base
competitive-lead	05157143	SubjectiveAssessmentAttribute	+									"an advantage held by a competitor in a race; ""he took the lead at the last turn"""	base
compiler	06573600	ComputerProgram	+		Compiler		315a	Mx4rvVjykZwpEbGdrcN5Y29ycA				(computer science) a program that decodes instructions written in a higher order language 	base
complication	13933221	SubjectiveAssessmentAttribute	+			Q1346149		Mx4rFBo7_i85QdiZ78b5I7iLiQ				"a situation or condition that is complex or confused; ""her coming was a serious complicati"	base
component	03081021	EngineeringComponent	=					Mx4rwUTJ_JwpEbGdrcN5Y29ycA				an artifact that is one of the individual parts of which a composite entity is made up; es	base
composer	09947232	Composer	=		Composer	Q36834		Mx4rvVjp3ZwpEbGdrcN5Y29ycA				someone who composes music as a profession	base
composition	06409752	Article	+									"an essay (especially one written as an assignment); ""he got an A on his composition"""	base
compost	14818101	Humus	+			Q212254	690	Mx4r81m1tHnNQdeA_K_L45oHEA				a mixture of decaying vegetation and manure; used as a fertilizer	base
compound	14818238	CompoundSubstance	=			Q5156823						(chemistry) a substance formed by chemical union of two or more elements or ingredients in	base
compound-interest	13318804	CurrencyMeasure	+			Q959606						interest calculated on both the principal and the accrued interest	economics
compressor	03082807	GasCompressor	=			Q178898	5596b	Mx4rO3t78sh2QvqY1ZvPps-QQg				a mechanical device that compresses gasses	base
compromise	07179342	Committing	+			Q726686		Mx4rBYhUVjATQdiCTa5OBT7H4A				"an accommodation in which both sides make concessions; ""the newly elected congressmen reje"	base
computer	03082979	Computer	=		Computer	Q68	278	Mx4rvVjXzZwpEbGdrcN5Y29ycA				a machine for performing calculations automatically	base
computer-memory	03744276	ComputerMemory	=			Q5830907		Mx4rZKar3id_Qriu4gcmrd_H1Q				"an electronic memory device; ""a memory and the CPU form the central part of a computer to "	base
computer-menu	06493392	ComputerMenu	=			Q846925						(computer science) a list of options available to a computer user	base
computer-monitor	03085219	ComputerTerminal	+			Q5290	305					a device that displays signals on a computer screen	base
computer-mouse	03793489	ComputerMouse	=		Computer_mouse	Q7987		Mx4rvVjLo5wpEbGdrcN5Y29ycA				a hand-operated electronic device that controls the coordinates of a cursor on your comput	base
computer-program	06568978	ComputerProgram	=		Computer_program	Q40056						"(computer science) a sequence of instructions that a computer can interpret and execute; """	base
computer-science	06128570	ComputerScience	=			Q179310						the branch of engineering science that studies (with the aid of computers) computable proc	base
computer-virus	06585816	ComputerProgram	+		Computer_virus	Q485		Mx4rvViKVpwpEbGdrcN5Y29ycA				a software program capable of reproducing itself and usually capable of causing great harm	base
computer-worm	06586098	ComputerProgram	+		Computer_worm	Q180712						a software program capable of reproducing itself that can spread from one computer to the 	base
comrade	09877124	Man	+			Q632316						"used as a term of address for those male persons engaged in the same movement; ""Greetings,"	base
concentration	05038593	DensityFn	+									the strength of a solution; number of molecules of a substance in a given volume	base
concept	05835747	Proposition	+		Concept	Q151885		Mx4rcAmbiMb8EdmAAAACs6hRjg			Concept	an abstract or general idea inferred or derived from specific instances	base
conception	00844847	SexualReproduction	+			Q2666904						the act of becoming pregnant; fertilization of an ovum by a spermatozoon	base
concern	07524529	Anxiety	+					Mx4rvViT8JwpEbGdrcN5Y29ycA				"an anxious feeling; ""care had aged him""; ""they hushed it up out of fear of public reaction"	base
concern.cognition	05670710	Proposition	+									"something that interests you because it is important or affects you; ""the safety of the sh"	base
concert	06892775	MusicalPerformance	+			Q182832						a performance of music by players or singers not involving theatrical staging	base
concertina	03086670	MusicalInstrument	+			Q593050	4983b					free-reed instrument played like an accordion by pushing its ends together to force air th	base
concession	07216412	Committing	+					Mx4r7nNaphxgQdiTFOb5_1OC1g				"a point conceded or yielded; ""they won all the concessions they asked for"""	base
concession-contract	06526619	Contract	+									"a contract granting the right to operate a subsidiary business; ""he got the beer concessio"	economics
conclusion	06398401	Communication	+			Q43338988						"the last section of a communication; ""in conclusion I want to say..."""	base
concrete	14820180	Concrete	=		Concrete	Q22657	7504a	Mx4rvVkDYJwpEbGdrcN5Y29ycA				a strong hard building material composed of sand and gravel and cement and water	base
condition	13920835	Attribute	+									"a state at a particular time; ""a condition (or state) of disrepair""; ""the current status o"	base
conditional-contract	06522633	Contract	+									a contract whose performance depends on a fact or event that affects legal relations	economics
conditional-sale	13352341	FinancialTransaction	+									a security interest taken by the seller in return for credit	economics
conditioner	03088020	Solution	+				6406b					a substance used in washing (clothing or hair) to make things softer	base
condom	03088164	ContraceptiveDevice	+			Q14076	775	Mx4rwP1mBpwpEbGdrcN5Y29ycA				contraceptive device consisting of a sheath of thin rubber or latex that is worn over the 	base
conducting-wire	04594489	ElectricalWire	=									a metal conductor that carries electricity over a distance	base
conductor	09953052	Position	+			Q2962041		Mx4rvVjXipwpEbGdrcN5Y29ycA				the person who collects fares on a public conveyance	base
conduit	03089014	ElectricalConduit	=			Q1124648	499768a					"a passage (a pipe or tunnel) through which water or electric wires can pass; ""the computer"	base
confederacy	09050244	ConfederateStatesOfAmerica	=			Q81931						the southern states that seceded from the United States in 1861	base
confederation	08303275	PoliticalOrganization	+		Confederation							a union of political organizations	base
conference	08308497	FormalMeeting	=					Mx4rvVjlEJwpEbGdrcN5Y29ycA				a prearranged meeting for consultation or exchange of information or discussion (especiall	base
confession	07216083	Stating	+			Q1207595		Mx4rmU3JTjABQdiVL9HjE0SSnA				an admission of misdeeds or faults	base
confidence	07526505	PsychologicalAttribute	+			Q4116378		Mx4rvVici5wpEbGdrcN5Y29ycA				"a feeling of trust (in someone or something); ""I have confidence in our team""; ""confidence"	base
confirmation	05825245	Reasoning	+			Q214802						additional proof that something that was believed (some fact or hypothesis or theory) is c	base
conflict	13980845	Contest	+					Mx4rvyEmy5wpEbGdrcN5Y29ycA				"a state of opposition between persons or ideas or interests; ""his conflict of interest mad"	base
conformity	01203676	NormativeAttribute	+					Mx4r8YFlssCrEdmAAAACs6hRjg				"acting according to certain accepted standards; ""their financial statements are in conform"	base
confrontation	07181713	Contest	+			Q65089988						discord resulting from a clash of ideas or opinions	base
confusion	00072473	PsychologicalProcess	+			Q5157911		Mx4rvcJtEZwpEbGdrcN5Y29ycA				"a mistake that results from taking one thing to be another; ""he changed his name in order "	base
conglomerate	08058937	Corporation	+			Q191704						a group of diverse companies under common ownership and run as a single organization	base
congress	08318691	LegislativeOrganization	+		Congress	Q643412						a national legislative assembly	base
congressman	09955781	PoliticalFigure	+			Q14761450						a member of the United States House of Representatives	base
connectedness	14419164	Attribute	+									"the state of being connected; ""the connection between church and state is inescapable"""	base
connection	00316989	Motion	+									"shifting from one form of transportation to another; ""the plane was late and he missed his"	base
connector	03091374	Artifact	+				504638b	Mx4rvVi5c5wpEbGdrcN5Y29ycA				"an instrumentality that connects; ""he soldered the connection""; ""he didn't have the right "	base
conscience	09184136	PsychologicalAttribute	+			Q193526		Mx4rP9i8ESwaEdiUggAH6RYvSQ				motivation deriving logically from ethical or moral principles that govern a person's thou	base
consciousness	05675130	ConsciousnessAttribute	=			Q7087		Mx4rv9Dgb5wpEbGdrcN5Y29ycA				"an alert cognitive state in which you are aware of yourself and your situation; ""he lost c"	base
