name	issue	ids
sphere.shape	name collision with 'sphere' — a three-dimensional closed surface such that every point on 	13898899
disembodied-spirit	name collision with 'spirit' — any incorporeal supernatural being that can become visible (	09545324
feast	"name collision with 'banquet' — a meal that is well prepared and greatly enjoyed; ""a banquet"	07578093
outflow	name collision with 'spring' — a natural flow of ground water	09443453
springtime	"name collision with 'spring' — the season of growth; ""the emerging buds were a sure sign of"	15237044
star.shape	name collision with 'star' — a plane figure with 5 or more points; often used as an emble	13881644
commencement	"name collision with 'beginning' — the time at which something is supposed to begin; ""they got "	15265518
station	name collision with 'post' — the position where someone (as a guard or sentry) stands or 	08624385
control-stick	name collision with 'stick' — a lever used by a pilot to control the ailerons and elevator	04317976
stock.possession	name collision with 'stock' — the capital raised by a corporation through the issue of sha	13333833
street.artifact	name collision with 'street' — the part of a thoroughfare between the sidewalks; the part o	04335209
topic	"name collision with 'subject' — the subject matter of a conversation or discussion; ""he didn"	06599788
guinea-pig	name collision with 'subject' — a person who is subjected to experimental or other observati	10668666
keep	"name collision with 'support' — the financial means whereby one lives; ""each child was expec"	13365286
endurance	name collision with 'survival' — a state of surviving; remaining alive	13962166
subsister	"name collision with 'survivor' — one who lives through affliction; ""the survivors of the fire"	10681194
electric-switch	name collision with 'switch' — control consisting of a mechanical or electrical or electron	04372370
tabular-array	"name collision with 'table' — a set of data arranged in rows and columns; ""see table 1"""	08266235
lozenge	name collision with 'pill' — a dose of medicine in the form of a small pellet	03936568
public-lecture	"name collision with 'lecture' — a speech that is open to the public; ""he attended a lecture "	07240549
tape-recording	"name collision with 'tape' — a recording made on magnetic tape; ""the several recordings w"	04391838
tapeline	name collision with 'tape' — measuring instrument consisting of a narrow strip (cloth or 	04392113
temple.body	"name collision with 'temple' — the flat area on either side of the forehead; ""the veins in "	05602683
tensity	"name collision with 'tension' — the physical condition of being stretched or strained; ""it p"	14544335
exam	name collision with 'examination' — a set of questions or exercises evaluating skill or knowledg	07197021
melodic-theme	"name collision with 'theme' — (music) melodic subject of a musical composition; ""the theme"	07029247
tissue-paper	name collision with 'tissue' — a soft thin (usually translucent) paper	15074962
title-of-respect	name collision with 'title' — an identifying appellation signifying status or function: e.	06339416
tooth.body	name collision with 'tooth' — hard bonelike structures in the jaws of vertebrates; used fo	05282746
whirligig	name collision with 'top' — a conical child's plaything tapering to a steel point on whi	04454240
top-side	"name collision with 'top' — the highest or uppermost side of anything; ""put your books o"	08663354
sense-of-touch	name collision with 'touch' — the faculty by which external objects or forces are perceive	05655119
trail	"name collision with 'lead' — evidence pointing to a possible solution; ""the police are fo"	05826914
business-deal	"name collision with 'deal' — a particular instance of buying or selling; ""it was a packag"	01110274
tribulation	"name collision with 'trial' — an annoying or frustrating or catastrophic event; ""his mothe"	07372959
trouble.event	"name collision with 'trouble' — an event causing distress or pain; ""what is the trouble?""; """	07289014
confidence.state	"name collision with 'confidence' — a trustful relationship; ""he took me into his confidence""; """	13929852
the-true	"name collision with 'truth' — conformity to reality or actuality; ""they debated the truth "	13956488
crook	"name collision with 'bend' — a circular segment of a curve; ""a bend in the road""; ""a croo"	13869327
matrimony	name collision with 'marriage' — the state of being a married couple voluntarily joined for l	13963970
unity	name collision with 'integrity' — an undivided or unbroken completeness or totality with nothi	14460565
use	name collision with 'habit' — (psychology) an automatic pattern of behavior in reaction to	00414179
function.attribute	"name collision with 'function' — what something is used for; ""the function of an auger is to "	05149325
economic-consumption	name collision with 'consumption' — (economics) the utilization of economic goods to satisfy nee	13451804
value.cognition	"name collision with 'value' — an ideal accepted by some individual or group; ""he has old-f"	05923983
economic-value	name collision with 'value' — the amount (of money or goods or services) that is considere	13413493
perspective	"name collision with 'position' — a way of regarding situations or topics etc.; ""consider what"	06208751
opinion.communication	name collision with 'opinion' — a message expressing a belief about something; the expressio	06782019
computer-virus	name collision with 'virus' — a software program capable of reproducing itself and usually	06585816
volume.communication	name collision with 'volume' — a publication that is one of a set of several similar public	06413666
volume.quantity	"name collision with 'volume' — the amount of 3-dimensional space occupied by an object; ""th"	13779032
ward.person	name collision with 'ward' — a person who is under the protection or in the custody of an	10767020
means.act	"name collision with 'means' — how a result is obtained or an end is achieved; ""a means of "	00172710
weight.attribute	name collision with 'weight' — the vertical force exerted by a mass as a result of gravity	05026843
due-west	name collision with 'west' — the cardinal compass point that is a 270 degrees	13834399
detachment	name collision with 'withdrawal' — avoiding emotional involvement	07506031
employment.act	"name collision with 'employment' — the occupation for which you are paid; ""he is looking for em"	00584367
yard.quantity	name collision with 'yard' — a unit of length equal to 3 feet; defined as 91.44 centimete	13650447
young.group	"name collision with 'young' — young people collectively; ""rock music appeals to the young"""	07944050
accountant	opencyc: 2 classes match ['accountant']	Mx4rvVkB3ZwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVkB3ZwpEbGdrcN5Y29ycB4rvViXyZwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycA
act	opencyc: 2 classes match ['act']	Mx4rv9diU5wpEbGdrcN5Y29ycA Mx4rwH00PZwpEbGdrcN5Y29ycA
ad	opencyc: 2 classes match ['ad']	Mx4rvZyPeZwpEbGdrcN5Y29ycA Mx4rwP2CJJwpEbGdrcN5Y29ycA
administrator	opencyc: 2 classes match ['administrator']	Mx4rvViu3JwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4r4GkbiFYcEdqAAAACs71DGR4rvVjVT5wpEbGdrcN5Y29ycA
agent	opencyc: 2 classes match ['agent']	Mx4rvVjrNpwpEbGdrcN5Y29ycA Mx4rwImSW5wpEbGdrcN5Y29ycA
airport	opencyc: 2 classes match ['airport']	Mx4rvVifvJwpEbGdrcN5Y29ycA Mx4rvVj-r5wpEbGdrcN5Y29ycA
alarm	opencyc: 2 classes match ['alarm']	Mx4rwQCOR5wpEbGdrcN5Y29ycA Mx4rwSrO9ZwpEbGdrcN5Y29ycA
album	opencyc: 2 classes match ['album']	Mx4rwLmi3JwpEbGdrcN5Y29ycA Mx4rwQiJXpwpEbGdrcN5Y29ycA
altitude	opencyc: 3 classes match ['altitude']	Mx4rYlT03qJbEdqAAAACs6hRXg Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAmpwpEbGdrcN5Y29ycB4rvVjvbJwpEbGdrcN5Y29ycB4rvVjpUZwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAmpwpEbGdrcN5Y29ycB4rwPujZZwpEbGdrcN5Y29ycB4rvVjpUZwpEbGdrcN5Y29ycA
aluminum	opencyc: 2 classes match ['aluminum']	Mx4rLYCdcAhuEduVMwDggVaqog Mx4rvVi2O5wpEbGdrcN5Y29ycA
animal	opencyc: 3 classes match ['animal']	Mx4r5lNPkMLgQdeAzr878CoUZw Mx4rvViwMZwpEbGdrcN5Y29ycA Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViwMZwpEbGdrcN5Y29ycB4rIcwFloGUQdeMlsOWYLFB2w
aquarium	opencyc: 2 classes match ['aquarium']	Mx4rvwL7hpwpEbGdrcN5Y29ycA Mx8Ngh4rc6oKzFsKEdaAAACQJ5pZBx4rvmD2n5wpEbGdrcN5Y29ycA
area	opencyc: 2 classes match ['area']	Mx4rvVjDAZwpEbGdrcN5Y29ycA Mx4rwIN_i5wpEbGdrcN5Y29ycA
army	opencyc: 2 classes match ['army']	Mx4rmkGQFm3OEdaAAACgye-oRQ Mx4rv26DAZwpEbGdrcN5Y29ycA
ash	opencyc: 2 classes match ['ash']	Mx4rmmTUJpJcQdmQE7SSaS-aXQ Mx8Ngh4rvVio85wpEbGdrcN5Y29ycB4rvViyGJwpEbGdrcN5Y29ycA
asset	opencyc: 2 classes match ['asset']	Mx4ryb1WdLy2EdmAAAACs6hRjg Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVi255wpEbGdrcN5Y29ycB4rvVi--ZwpEbGdrcN5Y29ycB4rvViknpwpEbGdrcN5Y29ycA
attack	opencyc: 2 classes match ['attack']	Mx4rvWAZ_5wpEbGdrcN5Y29ycA Mx4rvbfzAZwpEbGdrcN5Y29ycA
autonomy	opencyc: 2 classes match ['autonomy']	Mx4rlyOvUyp4EdiUfwAH6RYvSQ Mx4rlyOvVCp4EdiUfwAH6RYvSQ
balance	opencyc: 2 classes match ['balance']	Mx4rwP1JQJwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVjU2JwpEbGdrcN5Y29ycB4rvViNRJwpEbGdrcN5Y29ycB4rvVjc_pwpEbGdrcN5Y29ycA
balcony	opencyc: 2 classes match ['balcony']	Mx4r1go9xLhgEdqAAAACs6hnmQ Mx4rvViU9ZwpEbGdrcN5Y29ycA
ball	opencyc: 2 classes match ['ball']	Mx4rvVjqGZwpEbGdrcN5Y29ycA Mx4rvroPhpwpEbGdrcN5Y29ycA
bar	opencyc: 3 classes match ['bar']	Mx4rvVjyPJwpEbGdrcN5Y29ycA Mx4rvWBWWpwpEbGdrcN5Y29ycA Mx4rvnXyPpwpEbGdrcN5Y29ycA
barrier	opencyc: 2 classes match ['barrier']	Mx4r6WDBDLyvEdmAAAACs6hRjg Mx4rvVjqlZwpEbGdrcN5Y29ycA
base	opencyc: 3 classes match ['base']	Mx4rEcLG1ArWEdaAAABQ2sS97g Mx4rQJ8Q7kSjEd2AAAACs6hbjw Mx4rUzlpXFVKEdqAAAACs6hRXg
basement	opencyc: 2 classes match ['basement']	Mx4rvVijCJwpEbGdrcN5Y29ycA Mx4rvVjOGpwpEbGdrcN5Y29ycA
bat	opencyc: 2 classes match ['bat']	Mx4rn9BXZTvPSt2crxsZ7e65aQ Mx4rvViSgJwpEbGdrcN5Y29ycA
battle	opencyc: 2 classes match ['battle']	Mx4rd0DfJLgfEdmAAAACs6hRjg Mx4rvViusJwpEbGdrcN5Y29ycA
beak	opencyc: 2 classes match ['beak']	Mx4rvVj4fZwpEbGdrcN5Y29ycA Mx4rwCAmJZwpEbGdrcN5Y29ycA
bean	opencyc: 3 classes match ['bean']	Mx4rvVj0M5wpEbGdrcN5Y29ycA Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvViSvpwpEbGdrcN5Y29ycA Mx8Ngh4rwP4F85wpEbGdrcN5Y29ycB4rvViSvpwpEbGdrcN5Y29ycA
bear	opencyc: 2 classes match ['bear']	Mx4roA7l1k17Qdmeoe7FMLsAgw Mx4rvVjGfpwpEbGdrcN5Y29ycA
belt	opencyc: 3 classes match ['belt']	Mx4rvGXqAMkwEdmAAAACs6hRjg Mx4rvVjmlJwpEbGdrcN5Y29ycA Mx4rvVjz-ZwpEbGdrcN5Y29ycA
bench	opencyc: 2 classes match ['bench']	Mx4rs8cv5iTVQdeTIccNDHbV-Q Mx4rvVjpRJwpEbGdrcN5Y29ycA
bid	opencyc: 2 classes match ['bid']	Mx4rvVkYVZwpEbGdrcN5Y29ycA Mx4rwP1MvJwpEbGdrcN5Y29ycA
bill	opencyc: 3 classes match ['bill']	Mx4rprrLrnm4QdeCAddbPhbqXw Mx4rvVjXsZwpEbGdrcN5Y29ycA Mx4rvVjoqZwpEbGdrcN5Y29ycA
biography	opencyc: 2 classes match ['biography']	Mx4rK61iUHS-EdaAAACgyZzFrg Mx4rvtn4MZwpEbGdrcN5Y29ycA
bishop	opencyc: 2 classes match ['bishop']	Mx4r9pcwr0dEQry20U412sB2Lg Mx4rwN8hS5wpEbGdrcN5Y29ycA
board	opencyc: 2 classes match ['board']	Mx4rvdYqO5wpEbGdrcN5Y29ycA Mx4rwQw18ZwpEbGdrcN5Y29ycA
bomber	opencyc: 2 classes match ['bomber']	Mx4r5LQ-ChrUQdiCfY3DmGC4hQ Mx4rvVjT7ZwpEbGdrcN5Y29ycA
book	opencyc: 3 classes match ['book']	Mx4rvVjmq5wpEbGdrcN5Y29ycA Mx4rwJaXepwpEbGdrcN5Y29ycA Mx8Ngh4rwBbgNJwpEbGdrcN5Y29ycB4rvVjmq5wpEbGdrcN5Y29ycA
booklet	opencyc: 2 classes match ['booklet']	Mx4rF0DGkCzmQdiLl8XklhOa9A Mx4rSxn1uCzmQdiKysdWpLi5hQ
boom	opencyc: 2 classes match ['boom']	Mx4rwPvWepwpEbGdrcN5Y29ycA Mx4rwQCCYJwpEbGdrcN5Y29ycA
booth	opencyc: 2 classes match ['booth']	Mx4r7JdYnB5sQdeEm8XC4g5X8w Mx4r7wrJQh5sQdeK_cDALW32xg
bow	opencyc: 4 classes match ['bow']	Mx4rel35GCw7EdqAAAACs71DGQ Mx4rvVjB6pwpEbGdrcN5Y29ycA Mx4rvVkKJpwpEbGdrcN5Y29ycA Mx4rvi_RhZwpEbGdrcN5Y29ycA
bracket	opencyc: 3 classes match ['bracket']	Mx4r9MRKuitQQdidnNzQJhAiVQ Mx4rLOwZCvkjQdea-sfI2QK3kQ Mx4rZH8qOCtQQdiSoJmAaNfihQ
bronze	opencyc: 3 classes match ['bronze']	Mx4rr2fPAnS7EdaAAACgyZzFrg Mx4rvVjFXZwpEbGdrcN5Y29ycA Mx8Ngx4rwEcGC5wpEbGdrcN5Y29ycB4rvVjFXZwpEbGdrcN5Y29ycB4rvVjHuJwpEbGdrcN5Y29ycA
budget	opencyc: 2 classes match ['budget']	Mx4rvVih4ZwpEbGdrcN5Y29ycA Mx4rvVjS0JwpEbGdrcN5Y29ycA
building	opencyc: 3 classes match ['building']	Mx4r-RffBLHSEdmAhAACs6hRjg Mx4r1n91NLi3EdmAAAACs6hRjg Mx4rvVj7KJwpEbGdrcN5Y29ycA
bull	opencyc: 2 classes match ['bull']	Mx4rvfrdTZwpEbGdrcN5Y29ycA Mx4rxgRwzE16QdmRXeMQ0-5ZiA
bullet	opencyc: 3 classes match ['bullet']	Mx4rvj9gB5wpEbGdrcN5Y29ycA Mx4rvtXnU5wpEbGdrcN5Y29ycA Mx4rwQB61JwpEbGdrcN5Y29ycA
bun	opencyc: 2 classes match ['bun']	Mx4rlm78lqo7EduQrwACs5b6Bw Mx4rvViWFZwpEbGdrcN5Y29ycA
butterfly	opencyc: 2 classes match ['butterfly']	Mx4rwP1eaJwpEbGdrcN5Y29ycA Mx4rwP3yNJwpEbGdrcN5Y29ycA
button	opencyc: 2 classes match ['button']	Mx4rvVjbiZwpEbGdrcN5Y29ycA Mx4rvVkIs5wpEbGdrcN5Y29ycA
cabinet	opencyc: 2 classes match ['cabinet']	Mx4rvViGYpwpEbGdrcN5Y29ycA Mx4rvVj975wpEbGdrcN5Y29ycA
cafe	opencyc: 2 classes match ['cafe']	Mx4rwBjRC5wpEbGdrcN5Y29ycA Mx4rwQCHQZwpEbGdrcN5Y29ycA
cake	opencyc: 2 classes match ['cake']	Mx4rvViDipwpEbGdrcN5Y29ycA Mx8Ngh4rwU6E5pwpEbGdrcN5Y29ycB4rvViDipwpEbGdrcN5Y29ycA
calendar	opencyc: 2 classes match ['calendar']	Mx4rvVi7NpwpEbGdrcN5Y29ycA Mx4rvVjPhpwpEbGdrcN5Y29ycA
calf	opencyc: 2 classes match ['calf']	Mx4rvVi-BZwpEbGdrcN5Y29ycA Mx4rvVjBMJwpEbGdrcN5Y29ycA
cancer	opencyc: 2 classes match ['cancer']	Mx4rBFyclnTAEdaAAACgyZzFrg Mx4rwP1qGpwpEbGdrcN5Y29ycA
captain	opencyc: 2 classes match ['captain']	Mx4rMp7WsnS9EdaAAACgyZzFrg Mx4rvViQaZwpEbGdrcN5Y29ycA
carnival	opencyc: 2 classes match ['carnival']	Mx4rwPzrQ5wpEbGdrcN5Y29ycA Mx4rwTT3mpwpEbGdrcN5Y29ycA
carrot	opencyc: 2 classes match ['carrot']	Mx4rwQCF3JwpEbGdrcN5Y29ycA Mx8Ngh4rwP3oNZwpEbGdrcN5Y29ycB4rvViwDZwpEbGdrcN5Y29ycA
cell	opencyc: 2 classes match ['cell']	Mx4rvVjuY5wpEbGdrcN5Y29ycA Mx4rvsptSZwpEbGdrcN5Y29ycA
center	opencyc: 2 classes match ['center']	Mx4rs7udlsebEdmAAAACs6hRjg Mx4rvViYRpwpEbGdrcN5Y29ycA
century	opencyc: 2 classes match ['century']	Mx4rvVi49pwpEbGdrcN5Y29ycA Mx4rwG1h3JwpEbGdrcN5Y29ycA
cereal	opencyc: 2 classes match ['cereal']	Mx4rvVjMvZwpEbGdrcN5Y29ycA Mx4rvVjxRJwpEbGdrcN5Y29ycA
ceremony	opencyc: 2 classes match ['ceremony']	Mx4rvVjq_JwpEbGdrcN5Y29ycA Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-IY2VyZW1vbnkeK71l2ICcKRGxna3DeWNvcnAPpGFmMzBkNTFhLTE3YmItNDFkOS05ZmZkLWZkMzllZWM1MTEyOQ
chain	opencyc: 2 classes match ['chain']	Mx4rvVjNfZwpEbGdrcN5Y29ycA Mx4rvVjpYJwpEbGdrcN5Y29ycA
chairman	opencyc: 2 classes match ['chairman']	Mx4rvVip2JwpEbGdrcN5Y29ycA Mx4rvVjPw5wpEbGdrcN5Y29ycA
chalk	opencyc: 2 classes match ['chalk']	Mx4rQG_RZlBtREWTA7nFovYtrg Mx4rvVrhnpwpEbGdrcN5Y29ycA
charm	opencyc: 2 classes match ['charm']	Mx4rvVi73ZwpEbGdrcN5Y29ycA Mx4rvmhwAJwpEbGdrcN5Y29ycA
check	opencyc: 2 classes match ['check']	Mx4rv0Q26pwpEbGdrcN5Y29ycA Mx4rvVjOqJwpEbGdrcN5Y29ycA
chicken	opencyc: 2 classes match ['chicken']	Mx4rvVkCDZwpEbGdrcN5Y29ycA Mx8Ngh4rvVi-TJwpEbGdrcN5Y29ycB4rvVkCDZwpEbGdrcN5Y29ycA
child	opencyc: 2 classes match ['child']	Mx4rvVjPMJwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViwMZwpEbGdrcN5Y29ycB4rvVjPcJwpEbGdrcN5Y29ycB4rvViwMZwpEbGdrcN5Y29ycA
chorus	opencyc: 2 classes match ['chorus']	Mx4rGDLCQCm5QdiWm7JYKF-qPw Mx4rQOoehCzbQdiW-4pyK56spw
chute	opencyc: 2 classes match ['chute']	Mx4rv2bGaZwpEbGdrcN5Y29ycA Mx4rvwyd9pwpEbGdrcN5Y29ycA
circle	opencyc: 2 classes match ['circle']	Mx4rmSmWUM7yEdmAAAACs0uFOQ Mx4rvVjCZZwpEbGdrcN5Y29ycA
clay	opencyc: 2 classes match ['clay']	Mx4rumBLxHS_EdaAAACgyZzFrg Mx4rvVkCuJwpEbGdrcN5Y29ycA
cloud	opencyc: 2 classes match ['cloud']	Mx4rvViIUJwpEbGdrcN5Y29ycA Mx4rwPugRJwpEbGdrcN5Y29ycA
club	opencyc: 3 classes match ['club']	Mx4rv4ohjpwpEbGdrcN5Y29ycA Mx4rvVj7mJwpEbGdrcN5Y29ycA Mx4rvbgsJ5wpEbGdrcN5Y29ycA
code	opencyc: 2 classes match ['code']	Mx4r0VzrzrvVEdmAAAACs6hRjg Mx4r3eYzpsiVEdmAAAACs6hRjg
coffee	opencyc: 2 classes match ['coffee']	Mx4rvVkEXpwpEbGdrcN5Y29ycA Mx8Ngh4rwQCCxJwpEbGdrcN5Y29ycB4rvVkEXpwpEbGdrcN5Y29ycA
colleague	opencyc: 2 classes match ['colleague']	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvVikeZwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvVikeZwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA
collection	opencyc: 2 classes match ['collection']	Mx8Ngh4r_9MKDLvoEdmAAAACs6hRjh4rvVjmoJwpEbGdrcN5Y29ycA Mx8Ngh4rvViympwpEbGdrcN5Y29ycB4rvVjmoJwpEbGdrcN5Y29ycA
colony	opencyc: 2 classes match ['colony']	Mx4r7UPPpMkuEdmAAAACs6hRjg Mx4raa3vqMP3EdmAAAACs6hRjg
comet	opencyc: 2 classes match ['comet']	Mx4rjnZWUCYfEdaGOQACs0uFOQ Mx4rvViVppwpEbGdrcN5Y29ycA
commission	opencyc: 2 classes match ['commission']	Mx4rhHJlMjlSEdeUggACs2TnIQ Mx4rvVid6pwpEbGdrcN5Y29ycA
communist	opencyc: 2 classes match ['communist']	Mx4rvlAIgZwpEbGdrcN5Y29ycA Mx8Ngh4rwBtg95wpEbGdrcN5Y29ycB4rvVi0EZwpEbGdrcN5Y29ycA
computer-program	opencyc: 2 classes match ['computer-program']	Mx4rvgBVeJwpEbGdrcN5Y29ycA Mx4rwJxiRJwpEbGdrcN5Y29ycA
contact	opencyc: 2 classes match ['contact']	Mx4rw-Ukzn-LS4GGEBp3Enm8mg Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rvVjCwJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycA
cookie	opencyc: 3 classes match ['cookie']	Mx4rv0I6OZwpEbGdrcN5Y29ycA Mx4rvViDSJwpEbGdrcN5Y29ycA Mx4rv_MTupwpEbGdrcN5Y29ycA
copper	opencyc: 2 classes match ['copper']	Mx4r6NszUnS-EdaAAACgyZzFrg Mx4rvVjKx5wpEbGdrcN5Y29ycA
corn	opencyc: 2 classes match ['corn']	Mx4rvViaZJwpEbGdrcN5Y29ycA Mx4rvmb5UZwpEbGdrcN5Y29ycA
corner	opencyc: 2 classes match ['corner']	Mx4r0DTxnHKqTtq_2jVDrp28pg Mx4rwPupDpwpEbGdrcN5Y29ycA
correction	opencyc: 2 classes match ['correction']	Mx4r6beyMDDaQdiWzrJd8xAA_w Mx4rAk7cNk2mQdmLrb277D2eCg
coupon	opencyc: 2 classes match ['coupon']	Mx4rvgCnOpwpEbGdrcN5Y29ycA Mx4rvs5j75wpEbGdrcN5Y29ycA
cow	opencyc: 2 classes match ['cow']	Mx4rvWayzZwpEbGdrcN5Y29ycA Mx4rvxiUApwpEbGdrcN5Y29ycA
cream	opencyc: 2 classes match ['cream']	Mx4rv2qTZ5wpEbGdrcN5Y29ycA Mx4rwQBzl5wpEbGdrcN5Y29ycA
crystal	opencyc: 2 classes match ['crystal']	Mx4riSYy-HS_EdaAAACgyZzFrg Mx4rwP1r0JwpEbGdrcN5Y29ycA
cucumber	opencyc: 2 classes match ['cucumber']	Mx4rwQCNmpwpEbGdrcN5Y29ycA Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVino5wpEbGdrcN5Y29ycA
culture	opencyc: 3 classes match ['culture']	Mx4rfG66qMsfEdmAAAACs6hRjg Mx4rvhZiPpwpEbGdrcN5Y29ycA Mx4rwLCgz5wpEbGdrcN5Y29ycA
date	opencyc: 2 classes match ['date']	Mx4rvVisWZwpEbGdrcN5Y29ycA Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVia5pwpEbGdrcN5Y29ycA
dawn	opencyc: 2 classes match ['dawn']	Mx4r0EUks2EYEdaOHQACs0uFOQ Mx4rvViO45wpEbGdrcN5Y29ycA
deck	opencyc: 2 classes match ['deck']	Mx4rvgEKipwpEbGdrcN5Y29ycA Mx4rwPzpfZwpEbGdrcN5Y29ycA
degree	opencyc: 2 classes match ['degree']	Mx4rJ3ZbguI8QdeGDNhCi9LL3Q Mx4rvVip-pwpEbGdrcN5Y29ycA
demonstration	opencyc: 2 classes match ['demonstration']	Mx4ruz9Xbji_SVenxrk7Fh17Pw Mx4rvy_5HZwpEbGdrcN5Y29ycA
depository-financial-institution	opencyc: 2 classes match ['depository-financial-institution']	Mx4rvVirgJwpEbGdrcN5Y29ycA Mx8Ngh4rc6oKzFsKEdaAAACQJ5pZBx4rvVirgJwpEbGdrcN5Y29ycA
desert	opencyc: 2 classes match ['desert']	Mx4rvViUJ5wpEbGdrcN5Y29ycA Mx4rvVjreZwpEbGdrcN5Y29ycA
design	opencyc: 2 classes match ['design']	Mx4rnNiNDFAWRRmGpndEWaB_aw Mx4rvVivMpwpEbGdrcN5Y29ycA
dessert	opencyc: 2 classes match ['dessert']	Mx4rvVkKypwpEbGdrcN5Y29ycA Mx4rwQCDd5wpEbGdrcN5Y29ycA
diamond	opencyc: 3 classes match ['diamond']	Mx4rvgC2UJwpEbGdrcN5Y29ycA Mx4rwK1mVJwpEbGdrcN5Y29ycA Mx4rwLqTE5wpEbGdrcN5Y29ycA
direction	opencyc: 3 classes match ['direction']	Mx4rvVjb25wpEbGdrcN5Y29ycA Mx4rvVjf85wpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVjrDJwpEbGdrcN5Y29ycB4rvVi6fJwpEbGdrcN5Y29ycB4rvViOcJwpEbGdrcN5Y29ycA
directory	opencyc: 2 classes match ['directory']	Mx4r3NNXFDgtEdaHLgACs0uFOQ Mx4rwVIiy5wpEbGdrcN5Y29ycA
division	opencyc: 3 classes match ['division']	Mx4r2UohIscZEdmAAAACs6hRjg Mx4r5mSglEiWQvGa_GbWbPdT4g Mx4rnwv2ari_EdmAAAACs6hRjg
document	opencyc: 2 classes match ['document']	Mx4r1VKBbji8Ed2AAAACs6hRXg Mx4rvVkEx5wpEbGdrcN5Y29ycA
dolphin	opencyc: 2 classes match ['dolphin']	Mx4rvViItZwpEbGdrcN5Y29ycA Mx4rvVj0wpwpEbGdrcN5Y29ycA
drama	opencyc: 2 classes match ['drama']	Mx4rVGVKZHS-EdaAAACgyZzFrg Mx4rwQtvcJwpEbGdrcN5Y29ycA
drawing	opencyc: 2 classes match ['drawing']	Mx4rv1jl05wpEbGdrcN5Y29ycA Mx4rwQw3a5wpEbGdrcN5Y29ycA
dream	opencyc: 2 classes match ['dream']	Mx4rvVjNaJwpEbGdrcN5Y29ycA Mx4rvVjNqpwpEbGdrcN5Y29ycA
dressing	opencyc: 2 classes match ['dressing']	Mx4rj_efU7J4EdmAhAACs6hRjg Mx4rvVjNfJwpEbGdrcN5Y29ycA
duck	opencyc: 2 classes match ['duck']	Mx4rvVj4kJwpEbGdrcN5Y29ycA Mx8Ngh4rvVi-TJwpEbGdrcN5Y29ycB4rvVj4kJwpEbGdrcN5Y29ycA
duration	opencyc: 2 classes match ['duration']	Mx4rvViApZwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViApZwpEbGdrcN5Y29ycB4rvVijs5wpEbGdrcN5Y29ycB4rvViAxJwpEbGdrcN5Y29ycA
dust	opencyc: 2 classes match ['dust']	Mx4rN21qxHS8EdaAAACgyZzFrg Mx8Ngh4rwP1_U5wpEbGdrcN5Y29ycB4rvVj2S5wpEbGdrcN5Y29ycA
economist	opencyc: 2 classes match ['economist']	Mx4rwNhFvZwpEbGdrcN5Y29ycA Mx8Ngh4rv9ZSD5wpEbGdrcN5Y29ycB4rvqlEOpwpEbGdrcN5Y29ycA
egg	opencyc: 2 classes match ['egg']	Mx4rIIwpgIUzEdaAAABQ2rksLw Mx4rvbafcZwpEbGdrcN5Y29ycA
eggshell	opencyc: 2 classes match ['eggshell']	Mx4rvVjayZwpEbGdrcN5Y29ycA Mx4rwQCPFJwpEbGdrcN5Y29ycA
electronics	opencyc: 2 classes match ['electronics']	Mx4rvulV35wpEbGdrcN5Y29ycA Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-LZWxlY3Ryb25pY3MeK721a5ecKRGxna3DeWNvcnAPpDhmZDhiNmFhLTZjMWItNDFkYS04YTVkLWI2NTE2ZWNkYzZkMw
